SL.No,Ass.No,Subject,Author,Column1,Material,Script,Size,No.Folios,Sub,No. of lines in Pages,No.of letter per line ,Extent,Condition,Additional In fo
182,41/5,"?????????? ???? ???
svar?agaur? vrata kath?",,Vrata-Katha,PL,N.Na,18x5.5,43 To 50,Vrata-Katha,6,28,C,G,
183,41/6,"????? ???? ?????
yamun? p?j? vidhi?",, pooja,PL,N.Na,18x5.5,51 To 64, pooja,6,28,C,G,
184,41/7,"????????? ????
ana?tavrata? kalpa",,Vrata,PL,N.Na,18x5.5,65 To 75,Vrata,6,28,Inc.,O,
185,41/8,"???? ???????? ???? ???
ana?ta caturda?? vrata kath?",,Vrata-Katha,PL,N.Na,18x5.5,76 To 88,Vrata-Katha,6,28,C,G,""""
186,42,"??????????
a?tarda?a?la?",,Jautisha,P,D,20.5x11,1 To 2,Jautisha,15,35,C,G,
187,42/1,"??????? ?????
pa?cagavya vidhi?",, G- Prayoga   ,PL,N.Na,29x5,1 To 15, G- Prayoga   ,6,45,C,G,
188,42/10,"????? ?????
rudra s?kta",,Veda - Mantra,PL,N.Na,29x5,79 To 86,Veda - Mantra,6,45,C ,G,
189,42/11,"?????? ?????
r?tri s?kta",,Veda - Mantra,PL,N.Na,29x5,86 To 1 To 89,Veda - Mantra,6,45,C,G,
190,42/12,"??????? ?????
suma?gal? s?kta",,Veda - Mantra,PL,N.Na,29x5,90 To 94,Veda - Mantra,6,45,C,G,
191,42/13,"?? ?????
g? s?kta",,Veda - Mantra,PL,N.Na,29x5,95,Veda - Mantra,6,45,C,G,
192,42/14,"????????? ?????
r?k??ghna s?kta",,Veda - Mantra,PL,N.Na,29x5,96 To 101,Veda - Mantra,6,45,C,G,
193,42/15,"????? ?????
manyu s?kta",,Veda - Mantra,PL,N.Na,29x5,102 To 103,Veda - Mantra,6,45,C,G,
194,42/16,"????? ??????? ?????
putra svik?ra vidhi?",????, G- Prayoga   ,PL,N.Na,29x5,104 To , G- Prayoga   ,8,50,C,G,
195,42/17,"?????? ???????
n?kabali pray?ga?",, G- Prayoga   ,PL,N.Na,29x5,105 To 107, G- Prayoga   ,8,50,C,G,
196,42/18,"?????? ???????
pray?ga p?rij?ta",??????, G- Prayoga   ,PL,N.Na,29x5,108 To 123, G- Prayoga   ,7,48,Inc.,GO,
197,42/19,"????? ?????
upav?ta lak?a?a",, G- Prayoga   ,PL,N.Na,29x5,125 To 126, G- Prayoga   ,7,50,Inc.,GO,
198,42/2,"????????? ??
m?tyu?jaya japa",,Tantra Mantragama,PL,N. Na,29x5,16 To 17,Tantra Mantragama,6,45,C,G,
199,42/20,"???? ?????
?r? s?kta",,Veda - Mantra,PL,N.Na,29x5,127 To ,Veda - Mantra,7,50,Inc.,GO,
200,42/21,"??????? ????????
a?vattha st?tra?",Vyasa,Stotra,PL,N.Na,29x5,128 To 130,Stotra,9,48,C,G,From : Bhavisottara Purana
201,42/22,"??? ???? ???????
j?ta karma pray?ga?",, G- Prayoga   ,PL,N.Na,29x5,131 To , G- Prayoga   ,7,48,C,G,
202,42/23,"??????
n?makara?a",, G- Prayoga   ,PL,N.Na,29x5,132, G- Prayoga   ,9,48,C ,G,
203,42/24,"?????????? ?????
annapr??ana vidhi?",, G- Prayoga   ,PL,N.Na,29x5,133 To , G- Prayoga   ,7,48,C,G,
204,42/25,"?????? ??????
ugraratha ???ti?",,Shanti,PL,N.Na,29x5,134 To 157,Shanti,7,48,C ,G,
205,42/26,"????? ???????
upanayana pray?ga?",, G- Prayoga   ,PL,N.Na,29x5,160 To 178, G- Prayoga   ,8,50,C,G,
206,42/27,"????? ??????
s?p?na k?rik?",????????, G- Prayoga   ,PL,N.Na,29x5,179 To 180, G- Prayoga   ,8,50,C,G,
207,42/28,"??? ???? ?????
da?ta dh?vana vidhi?",, G- Prayoga   ,PL,N.Na,29x5,183 To , G- Prayoga   ,8,50,Inc.,GO,
208,42/3,"???? ?????? ?????
a??a p?tre d?vat?",, G- Prayoga   ,PL,N.Na,29x5,18 To 20, G- Prayoga   ,6,45,C,GO,
209,42/30,"???????????? ?????
tripa?cad?vat? s?kta",,Veda - Mantra,PL,N.Na,29x5,187 To 197,Veda - Mantra,7,48,C,G,
210,42/31,"??????? ???????????? ?????
a?vattha prati??h?pan? vidhi?",????, G- Prayoga   ,PL,N.Na,29x5,200 To 201, G- Prayoga   ,7,48,C,G,
211,42/32,"???????????? ????
a?vatth?panayana vidhi",, G- Prayoga   ,PL,N.Na,29x5,201 To 204, G- Prayoga   ,7,42,C,G,Saunakiya 
212,42/33,"??????? ????? ???????
a?vattha viv?ha pray?ga?",, G- Prayoga   ,PL,N.Na,29x5,205 To 206, G- Prayoga   ,8,50,C,OD,Asvalayaniya 
213,42/34,"????? ?????
dhruva s?kta",,Veda - Mantra,PL,N.Na,29x5,206 To 207,Veda - Mantra,7,42,C,OD,
214,42/35,"??????????????? ?????
n?gaprati??h?pan? vidhi?",,Shanti,PL,N.Na,29x5,208 To 209,Shanti,7,42,C,OD ,Saunakiya
215,42/36,"??????????? ?????
sarpasa?sk?ra vidhi?",,Shanti,PL,N.Na,29x5,209 To 212,Shanti,7,42,C,G,Saunakiya 
216,42/37,"??????????? ?????
sarpasa?sk?ra vidhi?",, G- Prayoga   ,PL,N.Na,29x5,213 To 217, G- Prayoga   ,7,42,C,G,
217,42/38,"?????? ?????????
v?stu r?k??ghna",, G- Prayoga   ,PL,N.Na,29x5,218 To 243, G- Prayoga   ,7,48,C,GO,
218,42/39,"????????? ???? ?????
rudr?k?a dh?ra?a vidhi?",,shaiva,PL,N. Na,29x5,244,shaiva,9,50,C,OD,
219,42/4,"??????? ?????
sarasvat? s?kta",,Veda - Mantra,PL,N.Na,29x5,21 To 30,Veda - Mantra,6,45,C,O,
220,42/40,"???????? ????? ????? ??????
??val?yana g?hya s?tra k?rik?",????????,Grahyasutra,PL,N.Na,29x5,1 To 18,Grahyasutra,7,42,Inc.,OD,
221,42/41,"???? ??? ???????
m?dh? janana pray?ga?",, G- Prayoga   ,PL,N.Na,29x5,19 To , G- Prayoga   ,7,42,C,OD,
222,42/42,"???????? ?????
samid?d?na vidhi?",, G- Prayoga   ,PL,N.Na,29x5,19 To 1, G- Prayoga   ,7,42,Inc.,OD,
223,42/43,"???????????
anupravacan?ya",, G- Prayoga   ,PL,N.Na,29x5,20, G- Prayoga   ,7,42,C ,OD,
224,42/44,"????????? ?????
mah?n?mni vrata?",, G- Prayoga   ,PL,N.Na,29x5,21 To , G- Prayoga   ,8,50,C,G,
225,42/45,"??????? ??? ?????
ana?v?ha d?na vidhi?",,Shanti,PL,N.Na,29x5,58 To 66,Shanti,7,42,C,Go,Naradiya 
226,42/5,"???????? ????? ?????
m?ttik? sn?na vidhi?",, G- Prayoga   ,PL,N.Na,29x5,31 To 33, G- Prayoga   ,6,45,C,GO,
227,42/6,"??? ??????
mah? ny?sa?",, pooja,PL,N.Na,29x5,34 To 44, pooja,6,45,Inc. ,O,
228,42/7,"????? ?????
puru?a s?kta",,Veda - Mantra,PL,N.Na,29x5,45 To 61,Veda - Mantra,6,45,C,G,
229,42/8,"????? ?????
ga?apati s?kta",,Veda - Mantra,PL,N.Na,29x5,73 To 74,Veda - Mantra,6,45,C,G,
230,42/9,"?????? ?????
vi??u s?kta",,Veda - Mantra,PL,N.Na,29x5,74 To 79,Veda - Mantra,6,45,C ,G,
231,43/1,"??????????? ????????
?a?pa?c??ik? vy?khy?",Bhattotpala,Jautisha,P,D,20.5x10.5 ,1 To 16,Jautisha,14,30,C,G,"Saka-1756, Year-1836, Jaya Sam, "
232,43/1,"??????? ?????
sudar?ana bh??ya",?????????????,Grahyasutra,""" PL "" ""","N.Na TU "" """,35x5 34x5 19x5.5 19x5.5,1 To 9814 To 871 To 231 To 8,Grahyasutra,7 9 9 8,65 45 20 20, Inc. ,G OD,
233,43/10 ,"???? ??????
tithi nir?aya",,Jautisha,P,D,20.5x10,1 To 16,Jautisha,9,23,C,DW,"Saka-1714, Year-1793 Paridhavi Sam, "
234,43/11,"????? ????????
v?dapada st?tra?",Jaimini,Stotra,P,D,20x10,1 To 9,Stotra,11,36,C,G,From : Pundarika Mahatmya
235,43/12,"??? ????????????
mah? vi??upaddhati",,Smriti,P,D,22x11,1 To 23,Smriti,10,30,Inc.,DW,
236,43/13,"???? ???????????? ???????
sarva pr?ya?citta pray?ga?",, G- Prayoga   ,P,D,21.5x11,1 To 3, G- Prayoga   ,17,38,C,G,
237,43/2,"????? ??????????
vai??kha m?h?tmya?",   Vyasa,Purana,P,D,21.5x11,1 To 77,Purana,13,35,Inc.,DW,Scribe : Balakrishna 
238,43/2,"???????????? ??????
aitar?y?pani?at bh??ya?",,Upanisat,PL,N.Na,35x5,1 To 24,Upanisat,7,65,C,G,
239,43/3,"??????? ???????? ????
muh?rta m?rt???a ??k?",Martanda Vallabha,Jautisha,P,D ,21.5x11,1 To 143,Jautisha,14,32,C,DW,Scribe: Balakrsna
240,43/4,"????????
r?p?va?i?",,Vyakarana,P,D,21.5x11,1 To 32,Vyakarana,9,30,C ,G,"Saka - 1777, Year - 1856, Raksasa sam, "
241,43/5,"??? ??????
?auca nir?aya",, G- Prayoga   ,P,D,21.5x11,1 To 5, G- Prayoga   ,12,32,Inc,G,
242,43/6,"?? ??? ?????
g? d?na vidhi?",, G- Prayoga   ,P,D,21.5x11,1 To 5, G- Prayoga   ,12,32,C,DW,"From, Vaitarani Scribe : Bala Krishna "
243,43/7,"?????? ?????? ????
v?stu prak?ra ??k?",Sripati,Jautisha,P,D,21.5x11,1 To 3,Jautisha,18,46,C,DW,"Script: Devanagari, Kannada Language"
244,43/8,"?????? ??????
v?stu ???ti?",, G- Prayoga   ,P,D,21.5x11,1 To 16, G- Prayoga   ,12,32,C,DW,"Saka 1760 yearto1839 Vilambi sam Jesta suto1 Scribe: Balakrsna script: Tulu, Language: Tulu"
245,43/9,"?????? ?????
vi??u s?kta",,Veda - Mantra,P,D,21.5x11,1 To 9,Veda - Mantra,10,25,Inc.,G,
246,44,"?????? ?????
sany?sa vidhi?",, G- Prayoga   ,P,D,20.5x10,1 To 17, G- Prayoga   ,10,25,C,DW,"Sa 1753, Year 1832. Khar sam Uttarayana sasi rutu palguna, Krishna Mandavasara, scribe : Vinayaka"
247,44/1,"???????? ???????
s?valip?ka pray?ga?",??????? ????, G- Prayoga   ,PL,N.Na,27x5 ,1 To 39, G- Prayoga   ,6,46,Inc.,G,
248,44/11,"?????? ??????
upakarma nir?aya",, G- Prayoga   ,PL,N.Na,27x5,126 To 128, G- Prayoga   ,7,50,Inc.,G,
249,44/12,"?????? ??????
upakarma nir?aya",, G- Prayoga   ,PL,N.Na,27x5,129 To 135, G- Prayoga   ,8,52,C,G,
250,44/13,"?????? ??????
?k?da?? nir?aya",, G- Prayoga   ,PL,N.Na,27x5, To , G- Prayoga   ,9,50,C ,G,
251,44/2,"??????????
ma?ga????aka?",,Stotra,PL,N.Na,27x5,40 To 43,Stotra,7,46,Inc.,G,
252,44/3,"?????????
mah?sa?kalpa",, G- Prayoga   ,PL,N.Na,27x5,44 To 50, G- Prayoga   ,8,50,C ,G,
253,44/4,"???????? ????? ????? ?????
??val?yana g?hya s?tra bh??ya",,Grahyasutra,PL,N.Na.,27x5,51 To 65,Grahyasutra,6,45,C,G,
254,44/5,"?????? ???????
pray?ga p?rij?ta",??????, G- Prayoga   ,PL,N.Na,27x5,66 To 69, G- Prayoga   ,6,45,Inc.,G,
255,44/6,"???? ??????
yajña d?pik?",, G- Prayoga   ,PL,N.Na,27x5,69 To 78, G- Prayoga   ,6,45,C ,G,
256,44/7,"?????? ?????
nir?aya si?dhu",?????? ????, G- Prayoga   ,PL,N.Na,27x5,97 To 116, G- Prayoga   ,6,45,Inc. ,GO,
257,44/8,"??? ??????
k?pa ???ti?",,Shanti,PL,N.Na,27x5,117 To 118,Shanti,7,50,C ,G,Saunka 
258,44/9,"?????? ????????? ??????
udy?na prati??? ???ti?",,Shanti,PL,N.Na,27x5,118 To 1 To 122,Shanti,7,50,C,G,
259,45/1,"??????? ????????
muh?rta ci?t?ma?i",Rama Daivajna,Jautisha,P,D,19.5x10 ,1 To 55,Jautisha,10,25,Inc.,ODW,"Saka-1692, Year-1771, Vikriti Sam, "
260,45/1,"??? ?????????????
?k sarv?nukrama?i",,Vedanga,PL,N.Na,23x6,1 To 52,Vedanga,7,38,C,G,
261,45/3,"??? ??????????? ?????
?k sarv?nukrama vivara?a",,Vedanga,PL,""" ",23x6,1 To 80,Vedanga,9,28,C,G,
262,45/4,"??? ??????????
?k prati??khya",????,Vedanga,PL,N.Na,23x6,1 To 51,Vedanga,9,28,C,G,
263,46/1,"??????? ????????
?anai?cara st?tra?",Pippalada,Stotra,PL,N.Na,28x5,1 To 6,Stotra,9,50,C,OD,
264,46/1,"???????? ???????
?dy?tma prakara?a?",,Vedantha,P,D,20x10,1 To 7,Vedantha,18,36,Inc. ,G,
265,46/10,"?????? ?????
s?mav?ra vrata?",,Vrata,PL,N.Na,28x5,22 To 32,Vrata,9,50,C ,GO,
266,46/11,"?????? ??????? ?????
vin?yaka caturth? vrata?",,Vrata,PL,N.Na,28x5,1 To 3,Vrata,6,45,C,G,
267,46/12,"????? ???? ?????
yamun? p?j? vidhi?",, pooja,PL,N.Na,28x5,4 To 8 To 1, pooja,9,50,C,G,
268,46/13,"?????? ???? ???
vin?yaka vrata kath?",,Vrata-Katha,PL,N.Na,28x5,8 To 1,Vrata-Katha,9,50,C,G,From : Skanda purana
269,46/14,"????????? ????
ana?tavrata? kalpa",,Vrata,PL,N.Na,28x5,9 To 14,Vrata,9,50,Inc.,O,
270,46/15,"???? ???????? ???? ???
ana?ta caturda?? vrata kath?",,Vrata-Katha,PL,N.Na,28x5,14 To 1 To 20,Vrata-Katha,9,50,C,G,""""
271,46/16,"????? ????? ????????
?akti v?dapada st?tra?",,Stotra,PL,N.Na,28x5,1 To 8,Stotra,9,50,C,OD,"Sa - 1758, Year - 1837 Manmtha sam, "
272,46/2,"????????? ????????
m?tyu?jaya st?tra?",Vyasa,Stotra,PL,N.Na,23x5,Foliosmissing,Stotra,8,35,Inc.,OD,
273,46/2,"??? ???????
pa?ca mah?yajña",,G- Prayoga   ,P,D,20x10,1 To 7,G- Prayoga   ,18,36,C,G,
274,46/3,"???????????? ?????
jy?ti?sta?bha vrata?",,Vrata,PL,N.Na,28x5,1 To 2,Vrata,10,54,C,G,
275,46/3,"???????
vyavah?ra",,Smriti,P,D,20x10,1 To 2,Smriti,18,36,C,G ,
276,46/4,"???????????? ???? ???
jy?ti?sta?bha vrata kath?",,Vrata-Katha,PL,N.Na,28x5,2 To 1 To 4 To 1,Vrata-Katha,10,54,C,GO,""""
277,46/4,"???????????????
atharva??r?pani?at",,Upanisat,P,D,20.5x10,1 To 10,Upanisat,9,31,C,OD,"Saka 1635to1714, Vijayasam Bhadrapadato 8,9,"
278,46/5,"????????? ?????
n?garapa?cam? vrata?",,Vrata,PL,N.Na,28x5,4 To 1 To 7,Vrata,9,50,C,G,
279,46/6,"????????? ???? ???
n?garapa?cam? vrata kath?",,Vrata-Katha,PL,N.Na,28x5,7 To 11,Vrata-Katha,9,50,C,GO,From : Garuda purana
280,46/7,"??????? ?????
siriy??a vrata?",,Vrata,PL,N.Na,28x5,12 To 13 To 1,Vrata,9,50,C,G,
281,46/8,"??????? ???? ???
siriy??a vrata kath?",,Vrata-Katha,PL,N.Na,28x5,13 To 1 To 14,Vrata-Katha,9,50,C,G,From : Skanda purana
282,46/9,"????????? ?????
?aniprad??a vrata?",,Vrata,PL,N.Na,28x5,15 To 21,Vrata,8,50,C,GO,
283,47,"????? ???? ?????
t?mra bhasma vidhi?",,Vaidya,P,D,19.5x10,1 To 2,Vaidya,12,40,C,G,
284,47/1,"????????????? ?????
?r?va?adv?da?? vrata?",,Vrata,PL,N.Na,20x4,1 To 11,Vrata,8,36,C,G,
285,47/10,"????? ???? ?????
vy?sa p?j? vidhi?",, pooja,PL,N.Na,28x5,13 To 27, pooja,9,50,C,G,
286,47/11,"???????? ?????
bhasmadh?ra?a vidhi?",, G- Prayoga   ,PL,N.Na,28x5,27 To , G- Prayoga   ,9,50,C,G,
287,47/12,"??? ?????
da??a lak?a?a",, G- Prayoga   ,PL,N.Na,28x5,27 To 1 To 28, G- Prayoga   ,9,50,C,GO,
288,47/13,"???????
pa?c?kara?a",,Jautisha,PL,N. Na,28x5,28 To 1 To 31,Jautisha,9,50,C,GO,
289,47/2,"????????????? ???? ???
?r?va?adv?da?? vrata kath?",,Vrata-Katha,PL,N.Na,20x4,12 To 18,Vrata-Katha,8,36,Inc.,GO,
290,47/3,"????????? ?????
am?s?mav?ra vrata?",,Vrata,PL,N.Na,24x5,1 To 5,Vrata,10,43,C,G,
291,47/4,"??????? ???? ???
a?vattha vrata kath?",,Vrata-Katha,PL,N.Na,24x5,6 To 10,Vrata-Katha,10,43,C ,G,From : Bhavisottara purana
292,47/5,"?????????? ?????
k?d?r??vara vrata?",,Vrata,PL,N.Na,24x5,1 To 29,Vrata,7,35,C,G,
293,47/6,"?????????? ???? ???
k?d?r??vara vrata kath?",,Vrata-Katha,PL,N.Na,24x5,29 To 50,Vrata-Katha,8,40,C,G,From : Skanda purana
294,47/7,"???? ???? ???
?a?kara vrata kath?",,Vrata-Katha,PL,N.Na,24x5,51 To 53,Vrata-Katha,8,40,C ,G,From : Skanda purana
295,47/8,"?????? ?????
sany?sa vidhi?",, G- Prayoga   ,P,N.Na,24x5,1 To 6, G- Prayoga   ,8,48,C,G,
296,47/9,"??? ??????? ?????
yati sa?sk?ra vidhi?",, G- Prayoga   ,PL,N.Na,28x5,7 To 12, G- Prayoga   ,9,50,C,Go,
297,48/1,"?????? ???????????
r?man?ma l?khan?dy?pana",,Vrata,PL,N.Na,45x4,1 To 3,Vrata,6,62,C,G,From : Visnottarapurana
298,48/1,"????????? ?????
param?dvaita dar?ana",,Jautisha,P,D,19.5x10,1 To 10,Jautisha,16,42,C,G,
299,48/10,"????????? ????? ??? ???
sa?kr??ti vrata? d?pa kath?",,Vrata-Katha,PL,N.Na,45x4,17 To 19,Vrata-Katha,6,62,C,G,From : Skanda purana
300,48/11,"????????? ??? ????????????
sa?kr??ti d?pa vrat?dy?pana?",,Vrata,PL,N.Na,45x4,19 To 1 To 20,Vrata,6,62,C,G,From : Skandapurana
301,48/12,"????????? ????????? ?????
sa?kr??ti d?p?r?dhan? vidhi?",,Vrata,PL,N.Na,45x4,20 To 1 To 21,Vrata,6,62,C,G,
302,48/13,"??????????? ????????????
?anitray?da?? vrat?dy?pana?",,Vrata,PL,N.Na,45x4,21 To 1 To 23,Vrata,6,62,C,G,
303,48/14,"???? ????? ????????????
v?mana jaya?t? vrat?dy?pana?",,Vrata,PL,N.Na,45x4,23 To 24,Vrata,6,62,C,G,
304,48/15,"?????? ????????????????
vaiku??ha caturda??yudy?pana",,Vrata,PL,N.Na,45x4,24 To 1,Vrata,6,62,C,G,
305,48/17,"????? ???????? ???? ?????
sahasra br?hma?a bh?jana vidhi?",,Shanti,PL,45x4 ,25to1to26,6,Shanti,62,C,G,From : Brahamandapurana,
306,48/18,"???? ??????? ??????
kadal? ?l?dbhava ???ti?",,Shanti,PL,N.Na,45x4,26 To 1 To 27,Shanti,6,62,C,G,
307,48/2,"???? ??? ????????????
lak?a ga?dha vrat?dy?pana?",,Vrata,PL,N.Na,45x4,3 To 4,Vrata,6,62,C,G,
308,48/2,"???????
pa?c?kara?a",,Jautisha,P,D,19.5x10,1 To 4,Jautisha,16,42,C,G ,"Saka-1773, Year-1851, Virodhi Sam, "
309,48/21,"?????????? ??????
?v?n?r?ha?a ???ti?",,Shanti,PL,N.Na,45x4,28 To 29,Shanti,6,62,C,G,
310,48/24,"???????????? ???? ???
j???halak?m? vrata kath?",,Vrata-Katha,PL,N.Na,45x4,29 To 32,Vrata-Katha,6,62,C ,G,From : Bhavisottara purana
311,48/25,"??? ?????????? ?????
r?ma pa???bhi??ka vidhi?",, pooja,PL,N.Na,45x4,32 To 39, pooja,6,62,C,G,From : Ramarcana Candrikaya
312,48/26,"????? ???? ?????
vy?sa p?j? vidhi?",, pooja,PL,N.Na,45x4,39 To 1 To 42, pooja,6,62,Inc.,D,
313,48/27,"??????? ???? ???
siriy??a vrata kath?",,Vrata-Katha,PL,N.Na,45x4,43,Vrata-Katha,6,62,C,G,From : Garuda purana
314,48/28,"?????????? ????????????
svar?agaur? vrat?dy?pana?",,Vrata,PL,N.Na,45x4,43 To 1 To 44,Vrata,6,62,C,G,From : Skandapurana
315,48/29,"????? ????????????
bilva vrat?dy?pana?",,Vrata,PL,N.Na,45x4,44 To 1 To 45,Vrata,6,62,C,G,From : Lingapurna
316,48/3,"????????? ?????
nityagaur? vrata?",,Vrata,PL,N.Na,45x4,1 To ,Vrata,6,62,C,G,
317,48/3,"?????? ????? ?????
brahma pra?ava lak?a?a",,Jautisha,P,""" ",19.5x10,1 To 15,Jautisha,16,42,C,G,""""
318,48/3,"?????? ?????? ??????
?gv?da sa?hit? bh??ya?",,Samhita,P,D,19.5x10,1,Samhita,16,42,C,G,
319,48/30,"????????? ????????????
lak?avarti vrat?dy?pana?",,Vrata,PL,N.Na,45x4,45 To 1 To 46,Vrata,6,62,C,G,From : Skandpurana Kalisamhita
320,48/31,"????????? ???????
lak?avarti udy?pana",,Vrata,PL,N.Na,45x4,47 To ,Vrata,6,62,C,G,
321,48/32,"??????? ????????????
d?rana??a pr?ya?citta",,Vrata,PL,N.Na,45x4,47 To 1 To 48,Vrata,6,62,C,G,
322,48/33,"???? ????????????
ana?ta vrat?dy?pana?",,Vrata,PL,N.Na,45x4,48 To 1 To 52,Vrata,6,62,C,OD,
323,48/34,"?? ???? ?????
g? padma vrata?",,Vrata,PL,N.Na,45x4,52 To 53 To 1,Vrata,6,62,C,OD,
324,48/35,"?????? ???? ???
g?padma vrata kath?",,Vrata-Katha,PL,N.Na,45x4,53 To 1 To 54,Vrata-Katha,6,62,C,OD,From : Bhavisottara purana
325,48/36,"????????? ?????
nityagaur? vrata?",,Vrata,PL,N.Na,45x4,55 To 56,Vrata,6,62,C,OD,
326,48/37,"????? ?????????? ??????
sahasra ca?dradar?ana ???ti?",,Shanti,PL,N.Na,45x4,56 To 1 To 57,Shanti,6,62,C,OD,Bodhayana 
327,48/38,"??????????? ????????????
lak?anamask?ra vrat?dy?pana?",,Vrata,PL,N.Na,45x4 ,57 To 1 To 58,Vrata,6,62,C,OD,From : Bhavisottara Purana
328,48/39,"??????????? ????????????
lak?asvasti vrat?dy?pana?",,Vrata,PL,N.Na,45x4,58 To ,Vrata,6,62,C,OD,From : Skandapurana
329,48/4,"????????? ????????????
lak?apu?pa vrat?dy?pana?",,Vrata,PL,N.Na,45x4,5 To 7,Vrata,6,62,C,G,From : Brahmasamhita
330,48/4,"???????? ????????
mah?v?kya ratn?va?i",Rama Candrendra,Jautisha,P,D,19.5x10 ,1 To 12,Jautisha,16,42,C,G,
331,48/40,"???? ?????? ?????????????
lak?a arisina ku?kum?dy?pana",,Vrata,PL,N.Na,45x4,59 To 60,Vrata,6,62,C,OD,
332,48/41,"?????? ????? ?????
n?si?ha jaya?t? vrata?",,Vrata,PL,N.Na,45x4,60 To 62,Vrata,6,62,C,ODW,
333,48/42,"?????? ???????? ?????
n?si?ha caturda?? vrata?",,Vrata-Katha,PL,N.Na,45x4 ,62 To 64 To 1,Vrata-Katha,6,62,C,OD,From : Brahmad purana
334,48/43,"??? ??????
udaka ???ti?",,Shanti,PL,N.Na,45x4,64 To 1 To 65,Shanti,6,62,C,OD,
335,48/44,"?????? ??????? ?????
vin?yaka caturth? vrata?",,Vrata,PL,N.Na,45x4,65 To 1 To 67,Vrata,6,62,C,OD,From : Skandapurana
336,48/45,"???? ?????? ????????????
pak?a prad??a vrat?dy?pana?",,Vrata,PL,N.Na,45x4,68 To ,Vrata,6,62,C,G,From : Skandapurana
337,48/46,"????????? ?????
garu?apa?cam? vrata?",,Vrata,PL,N.Na,45x4,68 To 71,Vrata,6,62,C,G,From : Garudapurana
338,48/47,"?????????? ????????????
um?mah??vara vrat?dy?pana?",,Vrata,PL,N.Na,45x4,71 To 1 To 72,Vrata,6,62,C,G,From : Dharmottara Khanda
339,48/48,"??? ??????
mah? ny?sa?",, pooja,PL,N.Na,45x4,1 To 14, pooja,6,62,C,G,
340,48/49,"??????? ?????
?ivap?j? vidhi?",, pooja,PL,N.Na,45x4,1 To , pooja,6,62,C ,G,
341,48/5,"????? ?????????????
nitya s?mav?r?dy?pana",,Vrata,PL,N.Na,45x4,7 To 9,Vrata,6,62,C,G,
342,48/5,"?????? ????? ?????
brahma pra?ava lak?a?a",,Jautisha,P,""" ",19.5x10,1 To 15,Jautisha,16,42,C,G ,
343,48/50,"?????? ???
p?rva?a h?ma",,Grahyasutra,PL,N.Na,45x4,1 To ,Grahyasutra,6,62,C ,G,
344,48/51,"???????????? ????????????
bi?dudv?da?? vrat?dy?pana?",,Vrata,PL,N.Na,45x4,2 To 10,Vrata,6,62,C,Go,
345,48/52,"???? ??????? ???????
m?si ?r?ddha pray?ga?",, G- Prayoga   ,PL,N.Na,45x4,1 To 7, G- Prayoga   ,6,62,Inc.,GO,
346,48/53,"????????????
pit?m?dhakanik?",, G- Prayoga   ,PL,N.Na.,45x4,1 To 6, G- Prayoga   ,6,62,C,GO,
347,48/54,"?????????? ?????
s?t?kaly??a vidhi?",, pooja,PL,N.Na,45x4,1 To 5, pooja,6,62,C ,G,
348,48/6,"???????????? ????????????
bi?dudv?da?? vrat?dy?pana?",,Vrata,PL,N.Na,45x4,9 To 10,Vrata,6,62,C,G,From : Skandapurana
349,48/6,"?????? ????? ?????
tattva jñ?na vivara?a",Ramacandra Yogi,Jautisha,P,D ,19.5x10,1 To 7,Jautisha,16,42,C,G,"Saka: 1773 Year- 1851, Virodhi Sam, "
350,48/7,"????????? ?????
am?s?mav?ra vrata?",,Vrata,PL,N.Na,,,Vrata,,,,,
351,48/7,"??????????? ?????????
svar?padar?ana siddh??jana",,Yoga,P,D,19.5x10,1 To 8,Yoga,16,42,C,G,"Saka - 1773, Year - 1852, Virodhi sam, "
352,48/8,"???????? ????????????
??ipa?cam? vrat?dy?pana?",,Vrata,PL,N.Na,45x4,11 To 1 To 16,Vrata,6,62,C,G,From : Brahmanda Purana
353,48/8,"?????? ????? ??????
brahma pra?ava d?pik?",Ramacandrendra,Jautisha,P,""" ",19.5x10,1 To 10,Jautisha,16,42,C,G,Saka: 1773 Year: 1851
354,48/9,"????????? ??? ????????????
sa?kr??ti d?pa vrat?dy?pana?",,Vrata,PL,N.Na,45x4,16 To 1 To 17,Vrata,6,62,C,G,
355,49,"???????
r?m?ya?a?",,Itihasa,PL,N.Na,37x3,1 To 107,Itihasa,8,70,Inc,G,"Uttara kanda only Yuva sam, pratitorja "
356,49/1,"?????? ?????? (???????? ????)
?gv?da sa?hit? (sakalasmita padapa?a)",,Samhita,P,D,20x10.5,1 To 101,Samhita,10,20,Inc,G,"Saka to 1760 to year 1839 Sravana 9, Rohini Bhumavara Scribe : Balakrishna"
357,49/2,"????? ?????????
k???a yajusa?hit?",,Samhita,P,D,20x10.5,1 To 83,Samhita,10,20,Inc.,G,
358,49/3,"???????? ???? ?????
navar?tr? p?j? vidhi?",, pooja,P,D,21x10,1 To 13, pooja,10,28,C,G,"Saka- 1752, Year 1831, Vikritisam "
359,50/1,"???????? ??????
siddh??ta kaumudi",Bhattojidiksita+,Vyakarana,PL,N.Na,45x4,1 To 92,Vyakarana,7,90,Inc.,OD,
360,50/1,"?????????????
ara?yak?pani?at",,Upanisat,P,D,20x10,1 To 2,Upanisat,13,35,Inc.,G,
