SL.No,Ass.No,Subject,Author,Column1,Material,Script,Size,No.Folios,Sub,No. of lines in Pages,No.of letter per line ,Extent,Condition,Additional In fo
4894,860/4,"?????????? ????????
graha????aka vy?khy?",,Jautisha,PL,TU,28.5x5,24 To 31,Jautisha,10,42,C,G,Script Krishna Bhatta
4895,860/5,"????? ????
s?rya ch?y?",,Jautisha,PL,TU,28.5x5,32 To 34 To 1,Jautisha,10,42,C,G,"Script-Tulu, Kannada Language"
4896,860/6,"????? ????
ca?dra ch?y?",,Jautisha,PL,TU,28.5x5,34 To 1 To 39,Jautisha,10,42,C,G,Script: Tulu
4897,860/7,"????? ????
mau?hya ga?an?",,Jautisha,PL,TU,28.5x5,39 To 41,Jautisha,10,42,C,G,"Script: Tulu, Kannada Language"
4898,860/8,"???? ??????
navamana nir?pa?a",,Jautisha,PL,TU,28.5x5,OneFolio,Jautisha,10,42,C,G,From: Surya Siddhantha
4899,860/9,"???????? ????
cakr?rdha ga?an?",,Jautisha,PL,TU,28.5x5,one,Jautisha,11,30,C,G,
4900,861/1,"?????? (??????????)
pa?c??ga (vir?dhik?t)",,Jautisha,PL,TU,18x4.5,1 To 21,Jautisha,12,28,C ,G,"Sa-1773, Year-1852"
4901,861/2,"???????????? ????????
gir???rayadi v?kyaga?u",,Jautisha,PL,TU,18x4.5,1 To 80,Jautisha,12,28,C,O ,
4902,861/3,"?????? ???? ??????
brahma kalpa pram??a",,Jautisha,PL,TU,18x4.5,1,Jautisha,12,28,C,G,
4903,861/4,"??????? ???? ?????
kalp??i var?a vivara?a",,,PL,TU,18x4.5,2Folios,,12,28,C,G,
4904,861/5,"???? ??????
kalpa pram??a",,,PL,TU,18x4.5,3Folios,,12,28,Inc.,G,
4905,861/6,"??????? ???
sa?vatsara ?la?",,Jautisha,PL,TU,18x4.5,1 To 3Folios,Jautisha,12,28,Inc.,GO,
4906,861/7,"?????? ???
yug?di ?la?",,Jautisha,PL,TU,18x4.5,Aù To Dk,Jautisha,12,28,C,G,
4907,861/8,"???? ??????? ????
janma patrik? l?khana",,Jautisha,PL,TU,18x4.5,12folios,Jautisha,12,28,C ,G,Saka-1800 Year-1879
4908,862/1,"?????? ????????
pad?c?ra v?khy?ni",,Jautisha,PL,TU,17x5.5,1 To 18,Jautisha,19,37,C,G,
4909,862/2,"??????????? ???? ??????
graha?av?khy? k?l? din?ni",,Jautisha,PL,TU,17x5.5,19 To 20,Jautisha,19,37,C,G,
4910,862/3,"?????? ???????? ????? ?????
pad?c?ra v?khy?ni s?dhan? vidhi?",,Jautisha,PL,TU,17x5.5 ,19,Jautisha,19,37,C,G,
4911,862/4,"??????? ?????
k?lacakra da?a?la?",,Jautisha,PL,TU,17x5.5,OneFolios,Jautisha,19,37,C ,G,
4912,862/5,"????? ???
g?h?ya padaka",,Vastu,PL,TU,17x5.5,One,Vastu,15,30,C,G,
4913,862/6,"???????????
graha????aka?",,Jautisha,PL,TU,17x5.5,one,Jautisha,15,30,C,G,
4914,862/7,"????? ???????
?l?ka sa?graha?",,General,PL,Tu,17x5.5,1 To 2,General,15,30,C,G,
