Sl.No,Ass.No,Name ,Author,Column2,Subject,Material,lang,Size,No.of F,N.of/pg,l/line,extent,condetions,info,,
2928,504/8,???????,,Ganashtaka,Stotra,P,Knn,22x12,6,16,30,C,O,PÀ£ÀßqÀ,,
2929,504/9,???????????,,Pushpadashtaka,Stotra,P,Knn,22x12,6,16,30,C,O,PÀ£ÀßqÀ,,
2930,505,?????????? ????,,Karnarjuna kalaga,Yakshagaana,PL,Knn,25x6,2&40,9,35,Inc,O/D,vÀÄ¼À¹ ¥ÀAdgÀ MAzÀÄ ¥ÀvÀæ«zÉ.,,
2931,505/1,???? ???????? ???????,,Lalita sahasranama stotra,Stotra,P,Knn,11x16,1&29,13,10,C,O,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ,,
2932,505/2,???? ????????? ???????,,Lalita ashtottara stotra,Stotra,P,Knn,11x16,29&1&42,13,10,C,O,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ,,
2933,505/3,?????? ????????? ???????,,Kaveri ashtottara stotra,Stotra,P,Knn,11x16,43&47,13,10,Inc,G,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ,,
2934,506,?????????????? ???????,,Vishnusahasranama stotra,Stotra,P,Knn,17x10,1&32,7,20,C,O/D,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ,,
2935,506/1,???????Ã???? ???????,,Lakshmiãhrridaya stotra,Stotra,PL,Knn,33.5x4,15&16,10,55,Inc,O/D,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ    1&14 ¥ÀvÀæUÀ¼ÀÄ £ÀµÀÖªÁVzÉ,,
2936,506/2,?????????,?????,Bhagavadgit,Geete,PL,Knn,33.5x4,17&21,10,55,Inc,O/D,,,
2937,506/3,??????? ????????? ???,????????????,Somashekhara chitrashekhara kath,Yakshagaana,PL,Knn,33.5x4,29&32,10,55,Inc,O/D,22&28 vÀ£ÀPÀ ¥ÀvÀæ £ÀµÀÖªÁVzÉ.,,
2938,506/4,??????????? ????,,Krrishnarjuna kalaga,Yakshagaana,PL,Knn,33.5x4,37&74,10,55,C,O/D,,,
2939,507,?????? ??????,,Hadugala samgraha,Haadu,P,Knn,12x13,32,12,10,Inc,D,,,
2940,507,??????????,,Krrishnasamdhana,Yakshagaana,PL,Knn,20x5,1&60,8,40,Inc,O,,,
2941,508,??????????,,Krrishnasandhana,Yakshagaana,PL,Knn,23.5x5,2&32,11,50,Inc,O/D,,,
2942,508/1,????????? – ???,,Mamgalashtaka – jaina,Stotra,P,Knn,16x10,1&3,9,20,Inc,O/D,,,
2943,508/2,????? ?????? – ???,,Vivaha prayoga – jaina,Prayoga,P,Knn,16x10,1&8,9,20,C,G,,,
2944,508/3,?????? ????? – ???,,Nagavali vidhana – jaina,Prayoga,P,Knn,16x10,11&55,9,20,C,G,,,
2945,508/4,?????? ????????? – ???,,Nagavali vyakhyana – jaina,Prayoga,P,Knn,16x10,56&88,9,20,C,G,,,
2946,509,???? ???? ?????? – ???,,Bidi padagala samgraha – jaina,Haadu,P,Knn,16x10,35,9,30,Inc,O/D,,,
2947,509/1,???????? ??????,,Abhimanyu prasamga,Yakshagaana,PL,Knn,23x6,1&13,10,40,Inc,O,"¥ÀæxÀªÀÄ ¸ÀA¢ü, 1 PÀA. ¥ÀzÀ 365 ªÀÄAUÀ¼À ªÀÄºÁ. PÀªÀÄ®²¯É",,
2948,509/2,????? ???,???????,Saimdhava vadh,Yakshagaana,PL,Knn,23x6,1&11,10,40,C,G/O,,,
2949,510,?????,,Chamdan,Yakshagaana,PL,Knn,26x5.5,1&20,8,40,Inc,O,,,
2950,510/1,???? ??????  – ???,,Puja samgraha  – jaina,Pooja,P,Knn,14x6,1&12,6,15,C,G,,,
2951,510/2,????? ?????? – ???,,Darshana stuti – jaina,Stotra,P,Knn,14x6,12&15,6,15,C,O,,,
2952,510/3,?? ???? – ???,,Jaya gadya – jaina,Extra,P,Knn,14x6,16&23,6,15,C,G,,,
2953,510/4, ???????? ?????,, Danakduva lakshana,Extra,P,Knn,14x6,24&30,6,15,C,G,,,
2954,510/5,???? ?????? – ???,,Puja samgraha – jaina,Pooja,P,Knn,14x6,31&75,6,15,Inc,D,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ,,
2955,511/1,???????? ????? - ???,???????,Padmavati charit - jaina,Kavya,PL,Knn,27x4,1&7,5,50,Inc,O/D,,,
2956,511/1,???????????? ?????????? – ???,,Jvalamalini devyashtaka – jaina,Stotra,P,Knn,11x9,1&4,7,12,C,O,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ,,
2957,511/2,??? ???? ???????,???? ??????,Rrishi mamdala stotra,Stotra,P,Knn,11x9,4&1&16,7,12,C,O,,,
2958,511/2,????????? ???,???????,Chandravali kath,Yakshagaana,PL,Knn,27x4,8&50,5,50,Inc,O/D,1850,,
2959,511/3,???????? ????? ??? ???????,,Padmavati sahasra nama stotra,Stotra,P,Knn,11x9,16&47,7,12,C,O,,,
2960,511/4,???????? ????????? ???????,,Padmavati ashtottara stotra,Stotra,P,Knn,11x9,47&75,7,12,C,O,,,
2961,511/5,??????? ???? ???????,,Triloka bhushana stotra,Stotra,P,Knn,11x9,75&118,7,12,C,O,,,
2962,511/6,???????????,,Devarajashtaka,Stotra,P,Knn,11x9,118&121,7,12,C,O,,,
2963,512,??????? – ???,,Iryapatha – jaina,Pooja,P,Knn,10.5x8,1&18,6,12,C,G,,,
2964,512,????????????,,Dhruvacharitr,Yakshagaana,PL,Knn,37x4.5,1&33,8,70,Inc,D/W,,,
2965,513,???????? ????? ??? - ??????,???????? ?????,Nijacharan sambandha vachana - virashaiva,Vacana,P,Knn,35x23,26&99,16,40,Inc,D,,,
2966,513,????????????,,Dhruvacharitr,Yakshagaana,PL,Knn,18x5.5,1&23,12,40,Inc,O/D,zÁ¤: ²æÃ¤ªÁ¸ÀgÁªï ²Ã£Áğ¼À,,
2967,514,?????????,,Falajyotisha,Jyotisha,P,Knn,40x13,18&36,13,55,Inc,D/W,,,
2968,514,???????? ??????? ?????,,Padmavati ammanavara charit,Yakshagaana,PL,Knn,36x4.5,1&6,8,55,Inc,G/O,,,
2969,515,??????? ??????,????????,Parijata prasamga,Yakshagaana,PL,Knn,17x3.5,1&55,6,30,Inc,O,zÁ¤: ²æÃ ²æÃ¤ªÁ¸ÀgÁªï,,
2970,517,?????????????? ????? – ??????, ??????? ?????,Revanasiddheshvara kavya – virashaiva,Kavya,P,Knn,17x21,35,16,20,Inc,D/W,,,
2971,517/1,????????? ????,??????,Babruvahana kalaga,Yakshagaana,PL,Knn,25x4,1&37,9,40,C,G,eÉÊ«Ä¤¨sÁgÀvÀ ¢AzÀ,,
2972,517/2,??????????,,Krrishnasandhana,Yakshagaana,PL,Knn,25x4,1&42,9,40,C,G,¨sÁUÀªÀvÀ¢AzÀ,,
2973,518,??????? ???,,Karibamtana kath,Yakshagaana,P,Knn,20x25,15,17,25,Inc,O/D,,,
2974,518,????????? ????,??????,Babruvahana kalaga,Yakshagaana,PL,Knn,31x4,1&39,7,50,Inc,O/D  OÄ,"zÁ¤: ²æÃ ¦. J£ï. SÁr®Ìgï,",,
2975,519,????????? ,,Falajyotisha,Jyotisha,P,Knn,21x13,17,15,25,Inc,D/W,,,
2976,519,??????? ????,,Banasura kalaga,Yakshagaana,PL,Knn,25x6,1&24,11,60,Inc,D,,,
2977,520,??????? ????,,Shivapuja vidhi,Pooja,P,Knn,15x10,20,10,20,Inc,O/D/W,,,
2978,521,???? ???????? ????????? - ??????,,Adhara ravichamdra srrishtikarana - virashaiva,Jyotisha,P,Knn,15x21,1&20,12,35,Inc,D/W,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ,,
2979,521/1,???????? ????,,Banasurana kalaga,Yakshagaana,PL,Knn,37x5.5,1&15,8,60,Inc,O/D,,,
2980,521/2,????????? ???,,Chamdrahasana kath,Yakshagaana,PL,Knn,37x5.5,1&20,8,60,Inc,O/D,,,
2981,522,???????????? ?? - ??????,,Kalappayyanavara pada - virashaiva,Haadu,P,Knn,10x16,1&15,15,10,Inc,D,,,
2982,522,??????? ??????,,Balalil prasamga,Yakshagaana,PL,Knn,24x5.5,1&46,10,40,C,G,¨sÁUÀªÀvÀ¢AzÀ,,
2983,523,????? ??????,,Vivaha nirnaya,Jyotisha,P,Knn,18x11,15,9,25,Inc,D,,,
2984,523,??????? ??????,,Balalil prasamga,Yakshagaana,PL,Knn,22x4.5,9&85,6,25,Inc,D/W,¨sÁUÀªÀvÀ¢AzÀ,,
2985,524,????????? ??????,,Nitishloka samgraha,Prayoga,P,Knn,10x16,12,18,15,Inc,O/f,,,
2986,524,????????????,??????????????,Manmathakravanji,Yakshagaana,PL,Knn,22x3.5,1&102,5,45,C,G,PÀÄgÀÄr §¹Û §æºÀäAiÀÄå£À PÀÄªÀiÁgÀ gÁdtÚ¤UÉvÉÆ«£ÀPÉgÉ AiÀÄdªÀiÁ£À zÉÆqÀØ §æºÀä¥Àà£À ªÀÄUÀ ¥ÀzÀätÚ£À §gÀºÀ.,,
2987,525,????????????,??????????????,Manmathakravanji,Yakshagaana,PL,Knn,46x4,1&37,5,110,Inc,O/D OÄ,,,
2988,525/1, ????? ?????? - ??????,, Dashavidha padodaka - virashaiva,Extra,P,Knn,16x10,3 Leaf,22,25,Inc,D/W,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ,,
2989,525/2,???????? ??????? - ??????,,Shivarahasya stotra - virashaiva,Stotra,P,Knn,16x10,1,22,25,C,O/D,,,
2990,525/3,?????????? - ??????,????? ??? ?????,Mishrarpana - virashaiva,Vacana,P,Knn,16x10,4&1&12,22,25,C,D/W,,,
2991,526,???? ?????,,Anshada gramtha,Jyotisha,P,Knn,10x15,5,14,15,Inc,D,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ,,
2992,526/1,??????? ??? - ???,????????????,Aparajita shataka - jaina,Niti shataka,PL,Knn,,1&14,6,85,C,G,,,
2993,526/2,??????? ??? – ???,????????????,Triloka shataka – jaina,Niti shataka,PL,Knn,,15&23,6,85,C,O/D,,,
2994,526/3,?????? ???????,,Kamdarpa kravamji,Yakshagaana,PL,Knn,38x4,9&50,6,85,C,G,,,
2995,526/4,?????? ???????,??????????????,Rudrana yakshagana,Yakshagaana,PL,Knn,38x4,15& Leaf,6,85,Inc,O/D,KPÁzÀ±À gÀÄzÀægÀ PÀxÉ,,
2996,526/5,???????? ??????? ???,??????????????,Hemashitali maharayana kath,Yakshagaana,PL,Knn,38x4,1&13,6,85,Inc,O/D,,,
2997,526/6,??????????? – ???,??????????????,Jinabhaktisara – jaina,Kavya,PL,Knn,38x4,1&10,6,85,Inc,O/D,,,
2998,526/7,?????? ????,,Kushalavara kalaga,Yakshagaana,PL,Knn,38x4,5& Leaf,6,85,Inc,D,,,
2999,527,???????? ??? - ??????,?????????? ??????,Someshvara shataka - virashaiva,Niti shataka,P,Knn,,23,7,15,Inc,O/D,,,
3000,527,?????? ????,,Mairavana kalaga,Yakshagaana,PL,Knn,29x4,1&37,5,35,Inc,O/D,gÁªÀiÁAiÀÄt¢AzÀ,,
3001,528,??????? ??? - ??????,?????????? ??????,Ganasahasra nama - virashaiva,Stotra,P,Knn,11x17,14&19,14,10,Inc,O,,,
3002,528/1,???????????,??????,Haribhaktisara,Kavya,PL,Knn,25.5x6,1&6,8,40,Inc,G,,,
3003,528/2,??????????,,Mairavanakalaga,Yakshagaana,PL,Knn,25x6,3&15,8,40,Inc,O/D,,,
3004,529,????? ??????,,Vaidya samgraha,Vaidya,P,Knn,16x21,1&259,22,25,Inc,D/W,,,
3005,529,????? ??????”,,Vaidya samgraha”,Vaidya,P,Knn,16x21,1&259,22,25,Inc,D/W,,,
3006,529/1,??????????? ????,,Valisugriva kalaga,Yakshagaana,PL,Knn,37x6,1&12,9,65,C,G,"gÁªÀiÁAiÀÄt Q¶ÌAzsÀPÁAqÀ  zÁ¤: ²æÃ ²æÃ¤ªÁ¸À gÁªï, ²Ã£Áğ¼À.",,
3007,529/2,??????????,,Ratisvayanvara,Yakshagaana,PL,Knn,37x6,13&37,9,65,C,G,zÉÊªÀdÕ ºÀj¨sÀPÀÛ«oÀ® ¨sÁUÀªÀvÀ¢AzÀ,,
3008,530,???????????????,????????,Rukminisvayanvara,Yakshagaana,PL,Knn,21x4,1&43,9,45,Inc,O/D,zÁ¤: ²æÃ¤ªÁ¸À,,
3009,531,???????????????,,Rukminisvayanvara,Yakshagaana,PL,Knn,25x6,1&32,8,50,Inc,G,¥ÀjzsÁ« ¸ÀA. ªÉÊ±ÁR ±ÀÄzÀŞ 5 UÀÄgÀÄªÁgÀ ºÀjºÀgÀ¥ÀÄgÀzÀ CUÀæºÁgÀ ±ÀAPÀgÀæ¨sÀlÖ,,
3010,532,???????????????,????????,Rukminisvayanvara,Yakshagaana,PL,Knn,22x5,19&56,9,35,Inc,D/W,1 jAzÀ 18 ¥ÀvÀæUÀ¼ÀÄ £ÀµÀÖªÁVzÉ.,,
3011,533,???????Ã???????,,Lakshmiãsvayanvara,Yakshagaana,PL,Knn,20x5,1&61,7,25,Inc,O/D,,,
3012,534,???????Ã???????,,Lakshmiãsvayanvara,Yakshagaana,PL,Knn,16x4.5,1&42,8,20,C,O,«. ¸ÀA. ªÀiÁUÀğ²Ã. ±ÀÄ.14 §ÄzsÀªÁgÀ PÉÆ£ÉAiÀÄ 3 ¥ÀvÀæ ¥ÀzÁäªÀw PÀ¯Áåt,,
3013,535,?????? ????,,Kushalavara kalaga,Yakshagaana,PL,Knn,20x5,1&43,9,40,C,G,"gÁªÀiÁAiÀÄt ¢AzÀ zÁ¤: ²æªÀÄw gÀÄQätªÀÄä, PÉÆ¥Àà®Ä,",,
3014,536,??????????,,Lavakusharakalaga,Yakshagaana,PL,Knn,21.5x4.5,1&29,7,45,Inc,D/W,"zÁ¤:  ¦.J£ï. SÁr®Ìgï, UÀÄArªÀÄ£É",,
3015,537,??????????,,Lavakusharakalaga,Yakshagaana,PL,Knn,34x3,40& Leaf,4,70,Inc,D/W,zÁ¤:²æÃ ¹.ZÀPÀæ¥ÁtÂ,,
3016,538,???????,,Lamkadahana,Yakshagaana,PL,Knn,15x5,35& Leaf,7,25,Inc,O,¥ÁægÀA¨sÀ«®è,,
3017,539,?????? ???????,??????????????,Vasudeva parijata,Yakshagaana,PL,Knn,23x4.5,1&49,12,55,Inc,O/D,,,
3018,540/1,??????????? ????,,Valisugriva kalaga,Yakshagaana,PL,Knn,25x4,1&64,6,40,C,G,zÁ¤: ²æÃ ¦.J£ï. SÁr®ÌgïUÀÄArªÀÄ£É,,
3019,540/2,?? ???? ???? ?????? ????,,Ba ramga Enna bayig barali,Kavya,PL,Knn,25x4,63&64,6,40,C,G,,,
3020,540/3,??????,,Udayaraga,Haadu,PL,Knn,25x4,33&35,6,40,C,G,,,
3021,541,"?????????, ???????",,"Virataparva, kichakavadh",Yakshagaana,PL,Knn,17.5x4,4&51,9,35,Inc,O,,,
3022,542,??????????,,Vrrishasenakalaga,Yakshagaana,PL,Knn,23x4.5,6&55,6,30,Inc,D/W,,,
3023,543,??????????,???????,Sharanalilamrrita,Yakshagaana,PL,Knn,38x4.5,1&141,8,75,Inc,D/W,,,
3024,544,??????????,???????,Sharanalilamrrita,Yakshagaana,PL,Knn,44x5,1&128,10,80,Inc,D/W,,,
3025,545,??????????,???????,Sharanalilamrrita,Yakshagaana,PL,Knn,39x4,1&85,7,80,Inc,D/W,ªÀÄ£ÀäxÀ £ÁªÀÄ ¸ÀA. eÉÃµÀ× § 12 ªÀÄAUÀ¼ÀªÁgÀ   zÁ¤: ²æÃ JA.J¸ï. £ÀAdÄAqÀgÁªï,,
3026,546,??????????,???????,Sharanalilamrrita,Yakshagaana,PL,Knn,29x5.5,1&149,9,60,C,O,"¨ÉA.CgÀ¼ÉÃ¥ÉÃmÉªÀÄoÀ £ÀAdAiÀÄå£ÀªÀgÀÄ D²ÃªÁğzÀªÀiÁr ¥ÀÄvÀæ¥ËvÀæjUÉ D²ÃªÁğzÀ ªÀiÁr PÉÆlÖ ... ... ...   zÁ¤: ²æÃ JA.J¸ï. £ÀAdÄAqÀgÁªï,¨ÉA.",,
3027,547,????????????,?????????,Shambarasurakalaga,Yakshagaana,PL,Knn,29x4,26&54,6,45,Inc,D/W,"zÁ¤: ²æÃ ²æÃ¤ªÁ¸À, ²Ã£Áğ¼À",,
3028,548,????????? ???????,,Shrikrrishna parijata,Yakshagaana,PL,Knn,21x5,2&38,9,30,Inc,O/D,,,
3029,549/1,?????????? ??????? ?????? (??????? ???),,Ravanamanabhamga kalanemi prasamga (samjivanada kath),Yakshagaana,PL,Knn,21x5,1&34,7,50,C,O/D,,,
3030,549/2,??????? ????,,Shrimamta ratna,Yakshagaana,PL,Knn,36x5,34&49,7,50,Inc,O/D,,,
3031,550/1,???? ???? ,,Anamta vrata,vrata,PL,Knn,20x6,1&22,10,45,C,G,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ,,
3032,550/2,??????????????,,Svarnagaurivrata,vrata,PL,Knn,26x6,23&27,10,45,C,G,,,
3033,550/3,?????????????,,Ramapattabhisheka,Yakshagaana,PL,Knn,26x6,1&16,10,50,Inc,D/W,,,
3034,551,?????? ???,????????,Samjivana kath,Yakshagaana,PL,Knn,20x5,17 Leaf,8,40,Inc,O/D,1800,,
3035,552,?????? ??? ???,,Samjivana tamda kathana,Yakshagaana,PL,Knn,18x5.5,5&22,9,35,Inc,D,,,
3036,553,????????,,Sitapaharana,Yakshagaana,PL,Knn,25x5,5&19,9,65,Inc,D/W,"zÁ¤: ²æÃ ²æÃ¤ªÁ¸À, ²Ã£Áğ¼À",,
3037,554,????????????,,Manmathakravanji,Yakshagaana,PL,Knn,35x3.5,2&44,4,75,Inc,D/W,,,
3038,555,??????? ????????? ???,????????????,Somashekhara chitrashekhara kath,Yakshagaana,PL,Knn,30x3.5,1&52,7,60,Inc,D/W,,,
3039,556,???????,,Kichakavadh,Yakshagaana,PL,Knn,27x6,5&24,10,55,Inc,O/D/ OÄ,,,
3040,557/1,?????? ???????,,Bhavavali yakshagana,Yakshagaana,PL,Knn,27x4.5,6&56,9,70,Inc,D/W,"¢VédAiÀÄzÀ ¸ÀA¢ü C¸ÀªÀÄUÀæ       zÁ¤: ²æÃ J¸ï. ©. gÀvÀßgÁdAiÀÄå dÄåªÉ®gïì, ¸Á°UÁæªÀÄ, PÉ.Dgï.£ÀUÀgÀ",,
3041,557/2,?????? ?????? ????? ,???? ??????,Gummata svami charit,Kavya,PL,Knn,27x4.5,57&97,9,70,C,D/W,,,
3042,558,??????,,Chorakath,Yakshagaana,PL,Knn,31x3.5,1&77,6,50,Inc,D/W,,,
3043,559,???????? ???????,????????,Rukmini svayamvara,Yakshagaana,PL,Knn,36x5,3&54,7,85,Inc,O/D/  OÄ,,,
3044,560,????????? – ??????,????????????,Anubhavamrrita – virashaiva,Kavya,PL,Knn,24x3.5,1&30,5,35,Inc,D/W,,,
3045,561,????????? – ??????,????????????,Anubhavamrrita – virashaiva,Kavya,PL,Knn,25.5x3.5,1&107,6,40,Inc,G,"zÁ¤: ¹.ªÉAPÀzÀmÉÃ±À ªÀÄÆwğ, ¥ÀÄgÀÄµÉÆÃvÀÛªÀÄ UÀ°è aPÀÌ¥ÉÃmÉ, avÀæzÀÄUÀğ",,
3046,561,???????? ??? - ??????,,Bidisvara vachana - virashaiva,Vacana,P,Knn,17x24,1&35,20,20,Inc,D,,,
3047,562,????????? ????? ???????? – ???,????????????,Trishashti lakshana mahapurana – jaina,Kavya,P,Knn,34x21,1&419,15,40,Inc,O/D,¥ÀÆªÀğ¥ÀÄgÁt ¸ÀÆvÀæ,,
3048,562/1,??????? ??????? - ???,???????,Ammanavara charitr - jaina,Kavya,PL,Knn,33x4,1&50,10,85,C,G,¸ÁAUÀvÀå ¸ÀA¢ü 12 ¥ÀzÀå 1566 PÁ®AiÀÄÄPÀÛ ¸ÀA. ªÉÊ±ÁR §. 11 UÀÄgÀÄªÁgÀ,,
3049,562/2,???? ??????? - ???,??????????????,Kadamba charitr - jaina,Kavya,PL,Knn,33x4,50&1&54,10,85,Inc,O/D,,,
3050,563,??????,??????? ?????,Ramayana,Kavya,PL,Knn,36x5,1&99,8,65,C,G,GvÀÛgÀ gÁªÀiÁAiÀÄt,,
3051,564,???? ?????,??????,Kapota vakya,Kavya,PL,Knn,16x5,19 Leaf,6,35,Inc,OÄ,,,
3052,565/1,??????????????,,Devimahatmyam,Mahatmya,PL,Knn,49x4,1&28,9,90,Inc,D/W,¸ÀA¢ü 8,,
3053,565/2,???? ?????????,,Kashi mahatmyam,Mahatmya,PL,Knn,49x4,1&188,9,90,Inc,D/W,¸ÀÌAzÀ ¥ÀÄgÁt¢AzÀ,,
3054,566,???????? - ??????????,,Kashikanda - skamdapurana,Puraana,PL,Knn,50x6,2&147,10,110,Inc,D/W,,,
3055,567,????????,,Kashikamda,Puraana,PL,Knn,51x6,290 Leaf,8,75,Inc,D/W,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ ¸ÀÌAzÀ¥ÀÄgÁt,,
3056,568,???? ???? ,???? ??????,Kashi kamda,Puraana,PL,Knn,49x4,1&149,11,75,C,O,1&100 CzsÁåAiÀÄ ¸ÀÌAzÀ¥ÀÄgÁt,,
3057,569,???? ???? ,???? ??????,Kashi kamda,Puraana,PL,Knn,48x5,1&125,10,90,C,O,ªÀÄÆ® ¸ÀA¸ÀÌøvÀ PÀ£ÀßqÀ ªÁåSÁå£À,,
3058,570,?????? ??????????,,Kaveri mahatmyam,Mahatmya,PL,Knn,35.5x4.5,1&28,8,60,Inc,G/O,,,
3059,571,???????,??????????,Mahabharata,Kavya,PL,Knn,51x5,1&169,9,105,Inc,D/W,"±À®å¥ÀªÀğ, PÀtğ¥ÀªÀğ",,
3060,572,????? ??????? – ??????,???????,Anubhava shikhamani – virashaiva,Kavya,PL,Knn,37x5,14&104,8,55,Inc,O/D/W,,,
3061,573,???????????? ??? ????? - ???,??????? ???????,Gummatasvami udaya charit - jaina,Kavya,PL,Knn,23x3.5,44 Leaf,6,35,Inc,O/D/W,,,
3062,574,?????? ?????? ????? - ???,???? ??????,Gummata svami charit - jaina,Kavya,PL,Knn,48x5,1&68,8,75,Inc,D/W,¸ÁAUÀvÀå ¥Àæ¨sÀÄzÉÃªÀ ZÀjvÉ PÉ®ªÉÇAzÀÄ ¥ÀvÀæUÀ¼ÀÄ,,
3063,575,????????? ????? - ???,????????,Chamdraprabha purana - jaina,Kavya,PL,Knn,49x5,2&136,8,95,Inc,D/W,,,
3064,576,??????? - ???,??????????,Mahabharata - jaina,Kavya,PL,Knn,53x5,1&175,8,90,C,G/O,"ZÁgÀÄ¨sÁgÀvÀ&PÀ£ÁğlPÀ ¨sÁgÀvÀ ±ÀPÀ 1748, ªÀåAiÀÄ ¸ÀA. ±ÁæªÀt §. 8 ¨sÁUÀğªÀªÁgÀ, ¸ÀAQÃWÀlÖ ¥ÀÄgÀªÀgÁ¢üÃ±À.....",,
3065,577,????????? ????? – ???,?????????,Chavumdaraya purana – jaina,Kavya,PL,Knn,36x5,1&175,8,85,Inc,D,,,
3066,578/1,??? ????????? ???,,Sagara chakreshvara kath,Kavya,PL,Knn,51x5,1&53,7,110,Inc,G/O,,,
3067,578/2,???????? ??????? – ???,,Vishvagama nirupan – jaina,Tantra-mantra-agama,PL,Knn,51x5,54&91,7,110,C,O,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ,,
3068,578/3,?????????? – ???,,Nanarthakosha – jaina,Nighantu,PL,Knn,51x5,92&94,7,110,Inc,O,,,
3069,578/4,????? ????,,Kannada ?gatu,Extra,PL,Knn,51x5,1,7,110,Inc,O,,,
3070,578/5,???? – ????? ???????? ????? – ???,,Rupaka – chauvisa tirthamkara lavani – jaina,Haadu,PL,Knn,51x5,2&8,7,110,Inc,O,,,
3071,579,???????,????????,Mahabharata,Kavya,PL,Knn,39x5.5,1&166,9,90,Inc,D/W,,,
3072,580,???????,????????,Mahabharata,Kavya,PL,Knn,51x6,1&147,11,85,Inc,O,"¸ÀA¢ü 31, ¥ÀzÀ 1950, ±ÀPÀ 1890 ¥ÀæªÀiÁw ¸ÀA. ªÀiÁUÀğ²gÀ. ¨sÁgÀvÀ ¥ÀÄ¸ÀÛPÀPÉÌ CAZÀAzÁæPÀğ",,
3073,581,???????,????????,Mahabharata,Kavya,PL,Knn,52x5,1&185,7,120,C,O,±ÀPÀ 1767 «±ÁéªÀ¸ÀÄ ¸ÀA. DµÁqsÀ ±ÀÄ. 5 §ÄzsÀªÁgÀ ¸ÀªÀiÁ¦Û,,
3074,582,???????,????????,Mahabharata,Kavya,PL,Knn,49x5,1&167,12,85,Inc,D/W,"®QëöäÃzÉÃ« CªÀÄä£ÀªÀgÀ d£À£À¥ÀvÀæ EzÉ. ¸ÀA¢ü 33, ¥ÀzÀ 1908. °¦PÁgÀ: ªÀÄ¯ÉèAiÀÄå",,
3075,583,???????,??????????,Mahabharata,Kavya,PL,Knn,53x6,1&213,11,110,C,G,¸ÀA¢ü 94 ¥ÀzÀå 3944,,
3076,584,???????,????????,Mahabharata,Kavya,PL,Knn,53.5x5,1&173,9,100,Inc,G,¸ÀA¢ü 19 ¥ÀzÀå 1275,,
3077,585,???????,,Mahabharata,Kavya,PL,Knn,55x5,1&114,10,90,Inc,G,¸ÀA¢ü 20 ¥ÀzÀ 1211,,
3078,586,???????,??????????,Mahabharata,Kavya,PL,Knn,51x6,2&76,12,70,Inc,D/W,,,
3079,587,???????,????????,Mahabharata,Kavya,PL,Knn,37x6.5,1&152,12,70,C,G/O,¸ÀA¢ü 34 ¥ÀzÀå 2006 zÁ¤: ¸ÉÆÃªÀÄ±ÉÃRgÀ,,
3080,588,???????,????????,Mahabharata,Kavya,PL,Knn,36x6,3&214,11,55,Inc,G,¸ÀA¢ü 34 ¥ÀzÀå 1919 °¦PÁgÀ: PÀÄzÀÄÌAd gÁªÀÄZÀAzÀæ,,
3081,589,???????,????????,Mahabharata,Kavya,PL,Knn,35x5,1&220,9,60,Inc,G/O,C±ÀéªÉÄÃzsÀ ¥ÀªÀğ ¥ÁægÀA¨sÀ,,
3082,590,???????,??????????,Mahabharata,Kavya,PL,Knn,37x5,1&169,9,70,C,O,¸ÀA¢ü 32 ¥ÀzÀå 1926,,
3083,591,???????,??????????,Mahabharata,Kavya,PL,Knn,37x5,1&75,11,100,Inc,G,¸ÀA¢ü 16 ¥ÀzÀå 110,,
3084,592,???????,??????????,Mahabharata,Kavya,PL,Knn,48x4.5,1&132,8,115,Inc,O/D,¸ÀA¢ü 19 ¥ÀzÀ 1140 ±ÀPÀ 1617 AiÀÄÄªÀ ¸ÀA. D²éd ±ÀÄ. 7 ±ÀÄPÀæªÁgÀ,,
3085,593,???????,??????????,Mahabharata,Kavya,PL,Knn,37x4.5,1&75,8,65,Inc,G,¥Ë¯ÉÆÃªÀÄ ¥ÀªÀğ,,
3086,594,??????? ??????,,Subhadra kalyana,Yakshagaana,PL,Knn,26x6,1&55,7,40,Inc,D/W,ªÀÄºÁ¨sÁgÀvÀ¢AzÀ,,
3087,595/1,??????? ??????,???????????,Chudamani prasamga,Yakshagaana,PL,Knn,40x4,1&31,6,70,Inc,D/W,,,
3088,595/2,????????,???????????,Setubandhana,Yakshagaana,PL,Knn,40x4,16 Leaf,6,70,Inc,O/D OÄ,,,
3089,595/3,?????????,???????????,Amgadasandhana,Yakshagaana,PL,Knn,40x4,1&20,6,70,Inc,D/W,,,
