Sl.No,Ass.No,Name ,Author,Column2,Subject,Material,lang,Size,No.of F,N.of/pg,l/line,extent,condetions,info,,
67,26/3,???????? ???????? - ??????,???????????,Ashtavarana trividhi - virashaiva,Kavya,PL,Knn,24.5x5,15&23,10,60,C,G,,,
68,26/4,???????? ????????? – ??????,?????????,Atmalimga samyogasthala – virashaiva,Vacana,PL,Knn,24.5x5,23&27,10,60,C,G,,,
69,26/5,???? ???? ??? – ??????,???????,Shamkara devara kamda – virashaiva,Kavya,PL,Knn,24.5x5,27&33,10,60,C,G,,,
70,26/6,?????? ??? - ??????,???????,Shadakshara kamda - virashaiva,Kavya,PL,Knn,24.5x5,33&38,10,60,C,G,ªÀÄÄRå PÀAzÀ ¥ÀzÀå,,
71,26/7,???? ???? ??? - ??????,???? ???? ?????,Marula devara kamda - virashaiva,Kavya,PL,Knn,24.5x5,39&45,10,60,C,G,,,
72,26/8,????????? ??? – ??????,?????? ??????? ,Prabhulimga kamda – virashaiva,Kavya,PL,Knn,24.5x5,45&47,10,60,C,G,,,
73,26/9,??????????? ???? – ??????,?????????? ??????,Aksharamalika gadya – virashaiva,Stotra,PL,Knn,24.5x5,48&49,10,60,C,G,,,
74,27,???????? ???? - ??????, ?????? ?????????,Bhavachimta ratna - virashaiva,Kavya,P,Knn,31x11,1&111,11,50,C,G,,,
75,27,???????????? - ??????,?????? ?????? ?????????,Rajemdravijaya - virashaiva,Kavya,PL,Knn,27x5,1&48,11,45,Inc,O/D,,,
76,28,???????? ???? - ??????, ?????? ?????????,Bhavachimta ratna - virashaiva,Kavya,P,Knn,34x10,1&45,7,45,C,G,¸ÀvÉåÃAzÀæ ZÉÆÃ¼ÀgÁAiÀÄ£À PÀxÉ,,
77,28/1,???????????????? – ??????,??????? ???????????,Limgastotrashatpada – virashaiva,Stotra,PL,Knn,25x6,1&28,14,70,C,G,§tÚzÀ ºÀ°UÉ EzÉ,,
78,28/2,????????? ????? ?????? – ??????,?????? ???????,Prabhudevara purana namdya – virashaiva,Stotra,PL,Knn,25x6,28&45,14,70,C,G,1601,,
79,28/3,??? ??????? ??? - ??????,?????????????????,Shiva mahimna shataka - virashaiva,Niti shataka,PL,Knn,,45&68,14,70,C,G,,,
80,28/4,???????? ?????????? – ??????,,Basaveshvara pamchastotra – virashaiva,Stotra,PL,Knn,25x6,69&100,14,70,C,G,,,
81,29,??? ???? ????? - ??????,?????? ???,Shabara shamkara vilasa - virashaiva,Kavya,P,Knn,29x11.5,1&53,11,40,C,G,,,
82,29,???????? ????? ??????? – ??????,???????? ???????? ,Limgalila vilasa charitra – virashaiva,Vacana,PL,Knn,30x5,1&122,12,75,C,O/D,,,
83,30,??? ????? - ??????,??????,Basava purana - virashaiva,Kavya,P,Knn,31x10,8&170,13,50,Inc,O/D,,,
84,30/1,????????? ???? ??????? – ??????,,Nilambika lalita stotra – virashaiva,Stotra,PL,Knn,32x5,1&2,9,70,C,G,ªÁ¢üğPÀ µÀlà¢,,
85,30/1,?????????????? (???) – ??????,?????????,Shivalimgastotra (kamda) – virashaiva,Stotra,PL,Knn,32x5,23&24,9,70,C,G,,,
86,30/11,???? ?????? – ??????,?????? ???,Devi stuti – virashaiva,Stotra,PL,Knn,32x5,24&26,9,70,C,G,,,
87,30/12,????????? ????? ?????? – ??????,,Vrrishabhemdra purana namdya – virashaiva,Stotra,PL,Knn,32x5,27&32,9,70,C,G,,,
88,30/13,???????????? ????? ?????? – ??????,????????? ?????,Channabasaveshvara purana namdya – virashaiva,Stotra,PL,Knn,32x5,32&39,9,70,C,G,,,
89,30/14,??????? ?????? - ??????,?????? ?????? ?????????,Shivalimga shatpadi - virashaiva,Stotra,PL,Knn,32x5,39&46,9,70,C,G,,,
90,30/15,??????? ?????? - ??????,?????? ???????,Vairagya shatpadi - virashaiva,Stotra,PL,Knn,32x5,47&52,9,70,C,G,,,
91,30/16,?????????????? ????? – ??????,?????? ?????? ?????????,Shivalimgastotra shatpada – virashaiva,Stotra,PL,Knn,32x5,53&59,9,70,C,G,,,
92,30/17,??? ??????? ??? - ??????,????????????????,Shiva mahimna shataka - virashaiva,Niti shataka,PL,Knn,,60&65,9,70,C,G,,,
93,30/18,????????????? ?????? – ??????,?????? ???????,Prabhudevapurana namdya – virashaiva,Stotra,PL,Knn,32x5,66&69,9,70,C,G,,,
94,30/19,???? ?????? ????? – ??????,??????? ????,Shamkara samhit shatpada – virashaiva,Stotra,PL,Knn,32x5,69&76,9,70,C,G,1665,,
95,30/2,???????????? ??????? – ??????,,Chikkanilammana stotra – virashaiva,Stotra,PL,Knn,32x5,3 Leaf,9,70,C,G,µÀlà¢,,
96,30/2,????????? ?????? ????????? ?????? – ??????,????????? ??????,Marulasiddha svami nirupisida namdya – virashaiva,Stotra,PL,Knn,32x5,76&77,9,70,C,G,,,
97,30/3,??????? ?????? – ??????,?????? ?????? ?????????,Shivalimga namdya – virashaiva,Stotra,PL,Knn,32x5,3&5,9,70,C,G,¨sÁ«Ä¤ µÀlà¢,,
98,30/4,?????? ????? ????????? ????????? ?????? – ??????,?????? ?????? ?????????,Murig siddha svamigalu nirupisida namdya – virashaiva,Stotra,PL,Knn,32x5,5&7,9,70,C,G,,,
99,30/5,?????????? ????? ?????? – ??????,??????,Siddheshvara purana namdya – virashaiva,Stotra,PL,Knn,32x5,7&9,9,70,C,G,,,
100,30/6,??????? ?????? ?????? – ??????,???????,Cheramamka kavyada namdya – virashaiva,Stotra,PL,Knn,32x5,9&12,9,70,C,G,,,
