SL.No,Ass.No,Subject,Author,Material,Script,Size,No.Folios,Sub,No. of lines in Pages,No.of letter per line ,Extent,Condition,Additional In fo
2095,282/13,"????? ???????
upanayana pray?ga?",,P,Tu,21x17,48 To 57, G- Prayoga   ,13,22,C,ODW,
2096,282/14,"???????????
anupravacan?ya",,P,Tu,21x17,57 To 59, G- Prayoga   ,13,22,C,OD,
2097,282/15,"???? ??? ???????
m?dh? janana pray?ga?",,P,Tu,21x17,59 To 60, G- Prayoga   ,13,22,C,OD,
2098,282/16,"??????? ???????
up?karma pray?ga?",,P,Tu,21x17,60 To 73, G- Prayoga   ,13,22,Inc.,ODW,
2099,282/17,"???????? ???????
sam?vartana pray?ga?",,P,Tu,21x17,73 To 80, G- Prayoga   ,13,22,Inc.,ODW,
2100,282/18,"???????? ???????
kany?vara?a pray?ga?",,P,Tu,21x17,80 To 83, G- Prayoga   ,13,22,C,ODW,
2101,282/19,"??????? ???????
madhuparka pray?ga?",,P,Tu,21x17,83 To 87, G- Prayoga   ,13,22,C,ODW,
2102,282/2,"????????? ???????
sth?l?p?ka pray?ga?",,P,TU,21x17,4 To 21, G- Prayoga   ,13,22,C,OD,
2103,282/20,"???????? ?????
kany?d?na vidhi?",,P,Tu,21x17,87 To 93, G- Prayoga   ,13,22,C,ODW,
2104,282/21,"????? ???????
viv?ha pray?ga?",,P,Tu,21x17,93 To 100, G- Prayoga   ,13,22,C ,OD,
2105,282/22,"????????? ??? ?????
g?haprav??a h?ma vidhi?",,P,Tu,21x17,100 To 102, G- Prayoga   ,13,22,C ,OD,
2106,282/3,"???????? ?????
garbh?d?na vidhi?",,P,Tu,21x17,21 To 25, G- Prayoga   ,13,22,C,OD,
2107,282/4,"?????? ???????
pu?savana pray?ga?",,P,Tu,21x17,25 To 30, G- Prayoga   ,13,22,C,OD,
2108,282/5,"????? ???????
s?ma?ta pray?ga?",,P,Tu,21x17,30 To 35, G- Prayoga   ,13,22,C,OD,
2109,282/6,"?????? ??? ???????
vi??u bali pray?ga?",,P,Tu,21x17,35 To 37, G- Prayoga   ,13,22,C,OD,
2110,282/7,"??? ???? ???????
j?ta karma pray?ga?",,P,Tu,21x17,38 To 41, G- Prayoga   ,13,22,C,OD,
2111,282/8,"??????
n?makara?a",,P,Tu,21x17,41 To 42, G- Prayoga   ,13,22,C,OD,
2112,282/9,"???????????
upani?krama?a",,P,Tu,21x17,42 To 43, G- Prayoga   ,13,22,C ,OD,
2113,283,"???? ??????????
d?v? m?h?tmya?",,P,Tu,20x10,1 To 43,Purana,13,25,C,OD,"Virodi sam, Asvija sukla Pancami, "
2114,283,"???? ?????? ?????? ????????
yajña valkya sm?ti vy?khy?",,PL,Te,41x3,2 To 107,Smriti,6,73,Inc.,OD,
2115,284,"???? ????? ???????
var?a k?tya sa?graha?",???????????? ???,PL,Te,51x5.5 ,1 To 101, G- Prayoga   ,9,82,Inc,G,
2116,285/1,"??????????
tirunim?m",,PL,Te,24x2.5,1 To 14,Jautisha,5,28,C ,G,Tn Telugu Language
2117,285/2,"?????? ???????
pray??a pra?n?",,PL,Te,24x2.5,10Folios,Jautisha,5,28,Inc.,GO,In Telugu Language
2118,286,"???? ???
r??i ?la?",,PL,Te,18.5x5,1 To 14,Jautisha,8,26,Inc.,O,
2119,287/1,"?????????
bhagavadg?t?",,PL,Tu,15.5x5.5,1 To 66,Gita,12,22,C,G ,
2120,287/2,"?????? ????
n?r?ya?a h?daya",,PL,TU,15.5x5.5,68 To 77,Stotra,12,22,Inc.,O ,
2121,287/2,"??????????? ???????
dharma??stra sa?graha?",,P,TU,13.5x21,1 To 100,Smriti,16,20,C,G,
2122,287/3,"??????? ???? ????????
lak?m? h?daya st?tra?",,PL,TU,15.5x5.5,77 To 1 To ,Stotra,12,22,Inc.,O,
2123,288,"?????????????? ????????
vi??usahasran?ma st?tra?",,PL,TU,14x5,1 To 24,Stotra,8,20,C,G,
2124,289,"??????? ????????
mah?bh?rata vy?khy?",,PL,Tu,63.5x4.5,1 To 121,Itihasa,9,100,Inc,G ,"Srimukha sam, Asvija bhahula Dasami "
2125,290,"????????
mah?bh?rata?",Vyasa,PL,Tu,65x5,1 To 324,Itihasa,10,100,Inc.,G,"Adivirata sabha, Anusasana "
2126,291,"???????
r?m?ya?a?",Valmiki,PL,Tu,68x6,1 To 207,Itihasa,15,135,C,GO,
2127,292,"?????? ?????
nir?aya si?dhu",?????? ????,PL,Tu,53x4.5,1 To 243, G- Prayoga   ,12,80,C,G,Scribe : Esvara narayana
2128,293,"?????? ???????
v?d??ta kalpataru",Amalananda,PL,TU,53x4.5 ,1 To ,Jautisha,11,118,C,GO,
2129,294,"??????? ????????
mah?bh?rata vy?khy?",,PL,Tu,63x5,156folios,Itihasa,7,90,Inc.,OD,Moksa Dharma parva
2130,295/1,"???????????????
adhy?tmar?m?ya?a?",,PL,Tu,51x5.5,1 To 9,Itihasa,16,78,Inc.,O ,Uttara Kanda
2131,295/2,"???????
r?mag?t?",,PL,Tu,51x5.5,10 To 1 To 11,Gita,16,78,C ,G,
2132,295/3,"?????? ????????
sm?ti ca?drik?",,PL,Tu,51x5.5,1 To 126, G- Prayoga   ,16,78,Inc.,G,
2133,295/4,"?????? ?????
nir?aya si?dhu",?????? ????,PL,Tu,51x5.5,126 To 1 To 132, G- Prayoga   ,16,78,Inc. ,G,
2134,295/5,"????????? ?????
kapila?a??h? vrata?",,PL,Tu,51x5.5,one,Vrata,10,78,C,G,
2135,296/1,"???? ???????
tarka sa?graha?",,PL,TU,48x4.5,1 To 4,Nyaya,10,65,C,G ,
2136,296/2,"????? ????????
ny?ya ca?drik?",Kesava Bhatta,PL,TU,48x4.5,1 To 20,Nyaya,10,65,C,G,
2137,296/3,"???????? ????????
sidd??ta ratn?va?i",Appadiksita,PL,TU,48x4.5,1 To 13,Nyaya,10,65,C,G,
2138,296/4,"???? ????????
bh??? paricch?da",Visvanatha,PL,TU,48x4.5,1 To 5,Nyaya,10,65,C,G,
2139,296/5,"???????? ??????????
sidd??ta mukt?va?i?",Visvanatha ,PL,TU,48x4.5,1 To 39,Nyaya,10,65,C,G,
2140,296/6,"???? ????????
?abda paricch?da",,PL,TU,48x4.5,1 To 18,Nyaya,10,65,C,G,
2141,296/7,"???? ????????
?abda paricch?da",,PL,TU,48x4.5,1 To 22,Nyaya,10,65,C,G ,
2142,296/8,"???? ??????? ????????
tarka sa?graha? vy?khy?",,PL,TU,48x4.5,1 To 14,Nyaya,10,65,Inc.,G ,
2143,296/9,"???? ??????? ????????
tarka sa?graha? ca?drik?",,PL,TU,48x4.5,1 To 21,Nyaya,10,65,Inc.,G ,
2144,297/1,"??????????????? ??????
???v?sy?pani?ad bh??ya?",,PL,Tu,48x5.5,1 To 4,Upanisat,13,78,C ,G,
2145,297/2,"???????????????
k?n?pani?adbh??ya",,PL,TU,48x5.5,5 To 19,Upanisat,13,78,C,G,
2146,297/3,"??????????? ??????
kath?k?pani?ad bh??ya?",,PL,Tu,48x5.5,19 To 33,Upanisat,13,78,C ,G,
2147,297/5,"????????????? ??????
pra?n?pani?at bh??ya?",,PL,Tu,48x5.5 ,44 To 1 To 55 To 1,Upanisat,10,78,C,G,
2148,297/6,"???????????? ??????
sa?hit?pani?ad bh??ya?",,PL,Tu,48x4.5,55 To 95,Upanisat,10,78,C,G,
2149,297/7,"??????????? ??????
kath?k?pani?ad bh??ya?",,PL,Tu,48x5.5,96 To 113,Upanisat,10,78,C,G,
2150,297/8,"????????? ??????
bhagavadg?t? bh??ya?",Sankaracarya,PL,Tu,48x5.5,114 To 196,Gita,10,78,C,G,Scribe : Vittala
2151,297/9,"??????????????? ????????
m????ky?panisad vy?khy?",,PL,Tu,48x5.5,197 To 220,Upanisat,10,78,C,G,Scribe : Vittala
2152,298,"???? ????????
nai?adha vy?khy?",Mallinatha,PL,TU,43.5x5,1 To 162,Kavya,9,82,Inc.,O,"Rambapura math, Sarasvati Bindura "
2153,299/1,"????????? ????????
?i?up?lavadha vy?khy?",Vidyamadhava,PL,TU,49x5,1 To 193,Kavya,13,65,C,G,
2154,299/2,"???? ???? ????????
amaru ?ataka? vy?khy?",Vemabhupala,PL,TU,49x5,194 To 222,Kavya,13,65,C,G,
2155,299/3,"???? ????
amaru ?ataka?",Sankaracarya,PL,TU,49x5,219 To 226,Kavya,13,65,C,G,
2156,300,"???????? ?????? ????????
siddh??ta kaumudi vy?khy?",Jhnanendra Sarasvati,PL,TU,49x5.5,1 To 123,Vyakarana,13,75,Inc.,G,
2157,301,"?????????? ???? ????????
mah?lak?m? h?daya st?tra?",,P,D,10x5,1 To 4,Stotra,5,17,Inc.,G,
2158,301/1,"????? ????????
bh?gavata vy?khy?",Sridhara,PL,Tu,49x5.5,1 To 181,Purana,12,70,Inc. ,G,"X, XI, XII Skanda"
2159,301/2,"?????? ??? ????????
vasi??a s?ra vy?khy?",Rama Krishna,PL,TU,49x5.5 ,182 To 249,Jautisha,12,70,Inc.,G,"ParaBhava Sam, Magha Sukla Paksa, "
2160,302,"????????? ?????
m?tyu?jaya ma?tra",,P,D,10x5,1 To 3, pooja,9,25,Inc.,G,
2161,302,"???? ?????? ?????? ????????
yajña valkya sm?ti vy?khy?",Vijnanesvara,PL,TU,49x5.5,No.No's,Smriti,"""",60,Inc.,ODW,
2162,303,"???? ?????? ?????? ????????
yajña valkya sm?ti vy?khy?",Vijnanesvara,PL,TU,47x3,1 To 153,Smriti,7,78,Inc.,OD,
2163,303,"???????
?tmab?dha",Vijnanesvara,P,D,13.5x6.5,One,Jautisha,12,40,Inc.,G ,
2164,304,"???????????? ?????
putr?tp?dana vidhi?",,P,D,11x7,1 To 2, G- Prayoga   ,11,23,Inc.,G,
2165,304/1,"??????? ?????? ????????
sa?k??pa ??r?raka vy?khy?",Vedananda,PL,TU,46x5 ,1 To 124,Jautisha,8,80,C,G,
2166,304/2,"??????????????? ??????
ch??d?gy?pani?at bh??ya?",,“,Tu,46x5,1 To 89,Upanisat,8,80,C,G,
2167,305,"???????
r?m?ya?a?",,PL,Tu,45x6,1 To ,Itihasa,15,75,Inc,GO,No. Page No's
2168,305,"?????? (???? )
pa?c??ga (?na?da )",,P,D,21.5x8,1 To 16,Jautisha,12,36,C,G ,"Sa- 1776, Year-1855"
2169,306,"????? ????????
ny?ya ca?drik?",Vidyasagara,PL,TU,56x5,1 To 131,Nyaya,8,88,C,OD,
2170,306,"??????
v?r?gama",,P,D,32x13.5,1 To 252,Shaivagama,7,28,Inc.,OD,"Uttara Bhaga, Viramaheshwara Tantra"
2171,307,"?????? ?????? ??????
?gv?da sa?hit? bh??ya?",,PL,TU,50x5.5,176Folois,Samhita,11,85,Inc,OD,
2172,307/1,"??????? ?????
?iv?daita ma?jari",Svaprabhananda ,P ,D,30x10.5,1 To 29,shaiva,10,50,C,OD,
2173,307/2,"??????
hariva??a",Vyasa,P,D,30x10.5,29 To 30,Itihasa,10,50,Inc.,OD,
2174,308,"??????????? ??????
bhavi?y?ttara pur??a?",Vyasa,PL,Tu,55x5,236Folios,Purana,10,65,Inc.,ODW,
2175,308,"???????? ?????
param??vara ta?tra",,P,D,29.5x11.5,2 To 118,Shaivagama,9,35,Inc.,G,
2176,309,"??????
bh?gavata?",,PL,Tu,71x5,1 To 99,Purana,10,118,Inc.,OD,I To VII Skanda
2177,309,"?????? ?????
p??upata ta?tra",,P,D,29.5x11.5,1 To 42,Shaivagama,8,25,C,OD,
2178,310,"??????? ????????
?ivag?t? vy?khy?",,P,D ,31x14,1 To 121,Gita,13,48,C,G,"Sa - 1775, Year - 1853, Pramathi nama "
2179,310/1,"????????? ????????
bhagavadg?t? vy?khy?",Ramakrsna Suri,PL,Tu,49x6,1 To 42,Gita,16,75,Inc. ,GO,
2180,310/2,"????????? ????????
?i?up?lavadha vy?khy?",Mallinatha,PL,TU,49x6,39 To 63,Kavya,16,75,Inc.,G,1-38 Folios Missing
2181,311,"????????????? ????
?abd??du??khara? ??k?",Sadasiva Bhatta,P,D,30x12.5 ,1 To 136,Nyaya,10,47,C,DW,
2182,311/1,"??? ?????? ???
?uka saptati kath?",,PL,TU,49x5.5,1 To 92,Gadya - Katha,12,54,C,G ,
2183,311/10,"????????????
aitar?y?pani?at",,PL,Tu,49x5.5,14 To 15,Upanisat,12,54,C,G,
2184,311/11,"?????????????
paramaha?s?pani?at",,PL,Tu,49x5.5,15 To 1,Upanisat,12,54,C,G,
2185,311/12,"?????????????
aru?y?pani?at",,PL,Tu,49x5.5,16,Upanisat,12,54,C ,G,
2186,311/13,"???????????
garbh?pani?at",,PL,Tu,49x5.5,16 To 17,Upanisat,12,54,C ,G,
2187,311/14,"?????????????
n?r?ya??pani?at",,PL,Tu,49x5.5,16 To 1 To 17,Upanisat,12,54,C ,G,
2188,311/15,"??????????
ha?s?pani?at",,PL,TU,49x5.5,17 To ,Upanisat,12,54,C,G,
2189,311/16,"???? ???????????
am?ta bi?dupani?at",,PL,TU,49x5.5,17 To 1 To 18,Upanisat,12,54,C,G,
2190,311/17,"???????????????
atharva??r?pani?at",,PL,Tu,49x5.5,18 To 19 To 1,Upanisat,12,54,C,G,
2191,311/18,"?????????????????
atharva??r??pani?at",,“,Tu,49x5.5,19 To 1 To 20,Upanisat,12,54,C,G,
2192,311/19,"???????? ????????????
k?l?gni rudr?pani?at",,PL,Tu,49x5.5,20 To 20 To 1,Upanisat,12,54,C,G,
2193,311/2,"???????????????
???v?sy?pani?at",,PL,Tu,49x5.5,1,Upanisat,12,54,C,G,
2194,311/20,"?????????????
brahm?pani?at",,PL,Tu,49x5.5,20 To 21,Upanisat,12,54,C,G,
2195,311/21,"?????????????
kaivaly?pani?at",,PL,Tu,49x5.5,21 To 21 To 1,Upanisat,12,54,C ,G,
2196,311/22,"?????? ?????
v?d??ta s?tra",,PL,TU,49x5.5,22 To 25,Jautisha,12,54,C,G,
2197,311/23,"????????
m?nasap?j?",,PL,Tu,49x5.5,one, pooja,12,54,C,G,
2198,311/24,"??????????????????
?v?t??vatar?pani?at",,PL,Tu,49x5.5,25 To 27,Upanisat,12,54,C,G,
2199,311/25,"?????????????????
b?had?ra?yak?pani?at",,PL,Tu,49x5.5,27 To 1 To 46,Upanisat,12,54,C,G,
2200,311/26,"????????????
pra?av?pami?at",,PL,TU,49x5.5,47,Upanisat,12,54,C ,G,
2201,311/27,"?????????
mah?pani?at",,PL,Tu,49x5.5,47 To 47 To 1,Upanisat,12,54,C,G,
2202,311/28,"?????????????????
?tmaprab?dh?pani?at",,PL,TU,49x5.5,47 To 1,Upanisat,12,54,C,G,
2203,311/29,"??????????????????
ma??alabrahma??pani?at",,PL,Tu,49x5.5,48 To 48 To 1,Upanisat,12,54,C,G,
2204,311/3,"??????????
k?n?pani?at",,PL,TU,49x5.5,1 To 2,Upanisat,12,54,C ,G,
2205,311/30,"???????????????
kau??takyupani?at",,PL,TU,49x5.5,48 To 1 To 49,Upanisat,12,54,C,G,
2206,311/31,"???????????????
ch??d?gy?pani?at",,PL,Tu,49x5.5,49 To 62,Upanisat,12,54,C,G,"Saka 1681toyear 1760 Bahudhnya sam, Pusya masa, Budhavara, Scribe: Venkatesh"
2207,311/32,"????????? ??
vaidy?m?ta rasa",,PL,Tu,49x5.5,1 To 11,Vaidya,11,65,Inc.,G,
2208,311/4,"?????????
ka?h?pani?at",,PL,Tu,49x5.5,2 To 5 To 1,Upanisat,12,54,C,G,
2209,311/5,"??????????
jabal?pani?at",,PL,Tu,49x5.5,5 To 1 To 6,Upanisat,12,54,C ,G,
2210,311/6,"?????????????
pra?n?pani?at",,PL,TU,49x5.5,6 To 8,Upanisat,12,54,C ,G,
2211,311/7,"????????????
mu??ak?pani?at",,PL,Tu,49x5.5,8 To 10,Upanisat,12,54,C,G,
2212,311/8,"???????????????
m????ky?pani?at",,PL,Tu,49x5.5,10 To 11,Upanisat,12,54,C ,G,
2213,311/9,"????????????????
taittir?y?pani?at",,PL,Tu,49x5.5,11 To 14,Upanisat,12,54,C,G,
2214,312,"?????????????????
b?had?ra?yak?pani?ad",,P,D,31x15.5,1 To 513,Upanisat,19,60,Inc.,OD,ItoVI Adhyaya 
2215,312/1,"????????? ????????
?i?up?lavadha vy?khy?",Mallinatha,PL,TU,49.5x6,1 To 34,Kavya,14,78,Inc.,G,"I - IV Sarga, Script : Tulu Vyakhya, "
2216,312/2,"????????? ????
bhagavadg?t? ??k?",Ramakrsna Suri,PL,Tu,49.5x6,43 To 66,Gita,14,78,Inc.,G,
2217,313,"???????? ?????
pa?cap?dika vivara?a",Praksatamya,PL,TU,48x6 ,1 To 103,Jautisha,14,78,C,OD,
2218,313,"????? ??????? ????
sa?ba?dha v?rtika ??k?",Ananda Jhana,P,D,31x15.5 ,1 To 103,Jautisha,19,60,C,G,
2219,314,"????????
mah?bh?rata?",Ananda Jhana,PL,Tu,45x4.5,1 To 244,Itihasa,11,60,Inc.,OD,Moksa Dharma parva
2220,314,"?????? ????????? ??????
v?ra?aiva ta?tr?kta nir?aya",,P,D,28.5x15,1 To 19,Veerashaiva,13,35,Inc.,OD,
2221,315,"????? ??????
ska?da pur??a?",,PL,Tu,50x4.5,1 To 210,Purana,11,86,Inc.,G,"Kasi kanda, Sri Mukha sam, Mesa Masa, "
2222,315,"???? ????????
nai?adha vy?khy?",Narayana,P,D,31x11,1 To 64,Kavya,7,40,Inc.,G,"Sa - 1687, Year - 1766, Parthiva sam, "
2223,316,"???????????????
n?mali?g?nu??sana?",Lingabhatta,P,D,31x11.5,1 To 50,Nighantu,7,30,Inc.,G,
2224,316/1,"????????????? ????????
mah?v?kyaviv?ka vy?khy?",,PL,TU,50x6,7 To 1 To 8,Jautisha,19,78,C,O,
2225,316/2,"????????? ????????
uttarag?t? vy?khy?",,PL,Tu,50x6,8 To 1 To 10,Gita,19,78,C,GO,Scribe : Nrsimha sastry
2226,316/3,"??? ????????
r?ma st?tra?",Saptarsies,PL,TU,50x6,10 To 11,Stotra,19,78,C,G,
2227,316/4,"??????????????? ??????
ch??d?gy?pani?at bh??ya?",,“,Tu,50x6,11 To 112,Upanisat,19,78,C,O,
2228,316/5,"?????????????? ??????
taitir?y?pani?at bh??ya?",,PL,Tu,50x6,113 To 139,Upanisat,19,78,C ,GO,
2229,316/6,"?????????????????
b?had?ra?yak?pani?at",,PL,Tu,50x6,140 To 160,Upanisat,19,78,C,OD,
2230,317,"?????? ??? ???????
v?d??ta s?ra prakara?a?",Sadananda,PL,""" ",34x4.5,1 To 177,Jautisha,11,48,C,G,Scribe: Nrsimha
2231,317,"?????? ???????? ??????
v?ra?aiva g?tr?di nir?aya",,P,D,26.5x11,1 To 40,Veerashaiva,7,34,C,G,
2232,318,"???????
r?m?ya?a?",,PL,Tu,50x5.5,1 To 172,Itihasa,13,65,Inc,ODW,Sundara - Yuddha Kanda
2233,318,"????? ????????
s???a ca?drik?",Krishna Bhatta,P,D,29.5x13,1 To 19,Nyaya,7,45,C,G,
2234,319,"???? ???? ????????
bh?rata ca?p? vy?khy?",Pitambara Suri,P,D,29.5x10.5,1 To 43,Campu,12,56,Inc.,G,III Stabakas
2235,319,"??????????????? ????????
n?mali?g?nu??sana? vy?khy?",,PL,Tu,47x4.5,1 To 150,Nighantu,9,62,C,G,
2236,320,"???????????????
n?mali?g?nu??sana?",,P,D,21x10,19 To 51,Nighantu,11,38,Inc.,OD,
2237,320,"?????? ??????
?gv?da sa?hit?",,PL,TU,45.5 x 6,1 To 131,Samhita,12,70,Inc.,OD,"V,VI,VII, VIII Astaka"
2238,321,"????? ????????
s???a ca?drik?",,P,D,24.5x11,1 To 7,Nyaya,16,50,C,G,
2239,321,"?????? ?????? (???????? ????)
?gv?da sa?hit? (sakalasmita padapa?a)",,PL,N.Na,40x5.5,46Folios,Samhita,11,100,C,ODW,
2240,321/1,"???? ???? ????????
bh?rata ca?p? vy?khy?",Narasimhacarya ,PL,TU,36x4,1 To 140,Campu,8,52,C,G,
2241,321/2,"??????? ????????
gha?akarpara vy?khy?",,PL,TU,36x4,1 To 5,Kavya,10,70,C,G,Scribe : Krishna Upadhyaya
2242,321/3,"???????? ?????
r?mak???a va?dan?",Mangesa kama,PL,Tu,36x4,1 To 12,General,10,70,Inc.,G,
2243,322,"????? ??????
ska?da pur??a?",Mangesa kama,P,D,25x13,15folios,Purana,8,30,Inc.,O ,Brahomottara Kanda 
2244,322,"?????? ????? ??????
??r?raka ny?ya nir?aya",Ananda Jhana,PL,TU,46.5x4.5 ,1 To 188,Jautisha,9,72,Inc.,G,
2245,323,"???????
?ivag?t?",Vyasa,P,D,21x10,1 To 75,Gita,9,25,C,G,"From : Padma Purana, Sa-1717, "
2246,323,"?????????
b?hajj?taka",Varahamihira,PL,TU,54.5x5,1 To 193,Jautisha,14,78,C,GO,"Saka- 1741, Year-1820"
2247,324,"??????????? ??????
brahmas?tra bh??ya?",Varahamihira,P,D,29.5x12.5,1 To 235,shaiva,7,50,C ,G,
2248,324,"?????? ??????
?gv?da sa?hit?",,PL,TU,48 x5,1 To 253,Samhita,10,82,C,OD,
2249,325,"???????? ??????
siddh??ta kaumudi",,PL,TU,34x4.5,1 To 257,Vyakarana,10,36,C,G,"Vibhava Sam Asada Suddha, "
2250,325,"?????????? ?????
s?mudrik? lak?a?a",,P,D,34x11,1 To 6,Jautisha,11,50,C,G,
2251,326,"??????????? ??????
bhavi?y?ttara pur??a?",PL,TU,Tu,49.5x6,1 To 142,Purana,14,72,Inc.,GO ,
2252,326,"??????? ????????
g?yatr? st?tra?",,P,D,30x10.5,1 To 2,Stotra,11,48,C,GO,
2253,327,"?????????
m?l?dhy?ya",Gopala,P,D,29.5x10.5,3 To 4,Vyakarana,13,54,Inc.,G,
2254,327,"?????? ??????
?gv?da sa?hit?",,PL,TU,37.5x5.5,1 To 99,Samhita,12,66,Inc.,Go,"V, VII Astaka"
2255,328,"???????
r?m?ya?a?",,PL,Tu,52x6,1 To 96,Itihasa,13,74,Inc,OD,Bala - Ayodhya Kanda
2256,328,"??????????????
v?d??tasiddh??ta",Gangadhara,P,D,24x12,25Folios,Jautisha,32,18,Inc.,OD,
2257,329,"?????????? ????????
g?t?g?vi?da vy?khy?",Laksmidhara,P,D,30.5x11,1 To 86,Kavya,5,48,C,G,
2258,329/1,"??????????
li?gapur??a?",Vyasa,PL,Tu,49x5.5,1 To 95,Purana,11,70,Inc.,G,
2259,329/2,"????????? ??????
brahm???a pur??a?",Vyasa,PL,Tu,49x5.5,42 To 110,Purana,11,70,Inc,GO,
2260,329/3,"??????????
garu?apur??a?",Vyasa,PL,Tu,49x5.5,112 To 126,Purana,11,70,Inc.,Go,
2261,330,"???????
r?m?ya?a?",Vyasa,PL,TU,52x6,1 To 211,Itihasa,15,98,Inc,G,Bala To Kiskinda kanda
2262,330,"?????????? ????????
vi??upa?jara st?tra?",Vyasa,P,D,7.5x6,1 To 63,Stotra,7,9,C,G,From : Brahmanda Purana 
2263,331,"??????
bh?gavata?",Vyasa,PL,Tu,58x4,1 To 291,Purana,9,80,C,OD,
2264,331,"???????? ?????? ????????
siddh??ta kaumudi vy?khy?",Vyasa,P,D,30x10,1 To 30,Vyakarana,10,75,Inc.,ODW,
2265,332,"??????
bh?gavata?",Vyasa,PL,Tu,46.5x5,1 To 273,Purana,12,58,Inc.,OD ,X Skanda
2266,332,"???????????? ????
sarvam?ladya?ta ??k?",,P,D,20.5x11,1 To 14,Dvaita,11,32,C,OD,
2267,333,"???? ???????? ?????
garbha kul?r?ava ta?tra",,P,D,30x8,1 To 41,Tantra Mantragama,6,45,C,OD,"Sa-1690, Year-1768, Sarvadhari Sam, "
2268,333,"?????? ??????
?gv?da sa?hit?",,PL,TU,38 x 6,1 To 197,Samhita,10,57,C,GO,"IV, VIII Astaka"
2269,334,"????? ????????
bh?gavata vy?khy?",,PL,Tu,45x5,1 To 220,Purana,12,82,Inc.,GOD,IX Skanda From : Tatparya Dipika
2270,334,"???????????
pa?car?tr?gama",,P,D,26x13,1 To 32,Tantra Mantragama,8,30,C ,G,
2271,335,"??? ???????? ??????
laghu siddh??ta kaumudi",,P,D,29x12,3 To 79,Vyakarana,10,40,Inc.,O,
2272,335/1,"?????? ?????
nai?adh?ya carita?",Sri Harsa,PL,TU,48x6,1 To 74,Kavya,12,78,C,G,
2273,335/2,"????? ??????
bha??i k?vya?",Bhatti,PL,TU,48x6,74 To 114,Kavya,12,78,C,G ,
2274,336,"??????
raghuva??a",Kalidasa,P,D,20.5x10,14,Kavya,10,30,Inc.,OD ,
2275,336,"?????? ?????
nir?aya si?dhu",?????? ????,PL,Tu,52x6,1 To 167, G- Prayoga   ,15,95,C,OD,"Saka to 1640 Year 1719, Vilambhi sam, Kartika Bahula 40"
2276,337,"???????????????
n?mali?g?nu??sana?",?????? ????,P,D,20x11,1 To 73,Nighantu,9,26,Inc.,G,"Saka 1785, Year 1863, Rudirodgari Sam, "
2277,337,"?????? ??????
?gv?da sa?hit?",,PL,TU,50 x 5,1 To 133,Samhita,12,70,Inc.,OD,Upto 8 Adhyaya of IV Astaka PINGLASAM
2278,338,"???????
r?m?ya?a?",,PL,TU,49x5.5,240 To 270,Itihasa,11,65,Inc ,OD,
2279,338,"??????????
kum?rasa?bhava?",Kalidasa,P,D,22.5x10,1 To 54,Kavya,7,25,Inc.,GO,
2280,339,"????????
mah?bh?rata?",Kalidasa,PL,Tu,45x4,1 To 273,Itihasa,9,74,Inc.,G,"Karna, salya, Gada, Esika, Striparvas "
2281,339,"????????
mah?bh?rata?",Kalidasa,PL,Tu,45x4,1 To 273,Itihasa,9,74,Inc.,G,"Karna, salya, Gada, Esika, Striparvas "
2282,339,"?????????????? ????????
vi??usahasran?ma st?tra?",Kalidasa,P,D,15x10,1 To 15,Stotra,10,17,Inc.,OD,
2283,340,"??? ???? ????????
mah? bh?rata t?tparya",Vadiraja,P,D ,20x16,103Folios,Dvaita,14,25,Inc.,ODW,"Script: Devanagari, Kannada Language, "
2284,340/1,"??????????????? ????
n?mali?g?nu??sana? ??k?",,PL,Tu,48x5.5,1 To 40,Nighantu,12,70,Inc.,O,
2285,340/2,"?????????
bhagavadg?t?",,PL,Tu,48x5.5,15Folios,Gita,12,70,Inc. ,O,
2286,341,"????? ??????
k?rma pur??a?",Vyasa,PL,Tu,32.5x5.5,1 To 185,Purana,14,43,C,G,
2287,341,"????????? ??????????
k???av??i m?h?tmya?",Vyasa,P,D,30x13,1 To 47,Purana,11,40,C,G,"Sa-1699, Year - 1778, Hemalambi sam, "
2288,342,"???????? ????????
abhijñ?na ??ku?tal?",Kalidasa,P,D,27x11.5,1 To 40,Nataka,12,30,C,G,"Parthiva Sam, Daksinayana Sravana "
2289,342/1,"??????? ??????? ????
harim??e st?tra ??k?",Bhagavadananda,PL,TU,33x5.5,1 To 48,Stotra,10,45,C,G,
2290,342/2,"????????? ????????
bhagavadg?t? vy?khy?",Bhagavadananda,PL,Tu,33x5.5,49 To 159,Gita,10,45,C ,G,""""
2291,343,"????? ????????
bh?gavata vy?khy?",,PL,Tu,58x5, To ,Purana,11,75,Inc.,ODW,"I, II, III, IV, V, VI, Skanda's"
2292,343,"??? ?????????
?aiva p?j?vidhi?",,P,D,18x12,1 To 13,shaiva,10,20,Inc. ,OD,
2293,344,"???????
r?m?ya?a?",,PL,TU,47x6,247 To 470,Itihasa,12,75,Inc,OD,Sundara to Uttara kanda
2294,344,"????????????????
taittir?y?pani?at",,P,D,20x10,1 To 51,Upanisat,9,26,C,O,
2295,345,"???????????
aitar?y?ra?yaka",,P,D,20x10,100 To 111,aranyaka,9,26,Inc.,Go,
2296,345,"?????????????????? ??????
b?had?ra?y?k?pani?ad bh??ya?",,PL,Tu,45x5,85Folios,Upanisat,9,90,Inc.,OD,
