SL.No,Ass.No,Subject,Author,Material,Script,Size,No.Folios,Sub,No. of lines in Pages,No.of letter per line ,Extent,Condition,Additional In fo
7660,2124,"????? ??????????
vai??kha m?h?tmya?",?????,pl,TU,31x5,1&63,Mahatme,12,60,???,???,
7661,2125,"???????? ????????? 
??val?yana dharmas?tra ",????????,pl,TU,50x5,187,Darmasatra,14,100,???,???,??. ?????????? ???
7662,2126,"???????
r?m?ya?a?",????????,pl,TU,37x5,1&113,Itihasa,12,55,Inc,G,???????A?
7663,2127,"????????
aparadarpa?a",,pl,TU,24.5x5,1&75,Gruhya- Prayoga ,12,40,???,O/D,
7664,2128,"?????????
ku??alak?a?a",,pl,TU,17x3,1&102,Shaivagama,8,30,C   ,O/D/W,?????????
7665,2129,"??????????? ????????
?ivasahasran?ma st?tra?",?????,pl,TU,15x4,2&48,Stotra,10,15,Inc,O/D/W,????? ??????? ??????????.
7666,2130,"?????? ????
pray?ga m?l?",,pl,TU,25x5,87,Gruhya- Prayoga ,10,35,Inc,O/D,????? ??????? ??????????.
7667,2131,"????? ???????
p?rva pray?ga?",,pl,TU,23x5,1&50,Gruhya- Prayoga ,11,30,Inc,O/D/W,
7668,2132,"???? ??????????
d?v? m?h?tmya?",?????,pl,TU,15x4,3&63,Mahatme,10,25,Inc,O/D,?&? ??????? ??????????.
7669,2133,"???????????????
taittir?y?ra?yaka",,pl,TU,19.5x5,1&25,Vedaranyaka,9,35,Inc,O/D/W,
7670,2134,"???? ?????????????
lalita sahasran?m?va?i?",,pl,TU,25x5,1&11,Stotra,9,40,C   ,G,
7671,2135,"??????? ?????
?ivap?j? vidhi?",,pl,TU,15x4,26,Pooja,9,25,Inc,O/D,????? ??????? ??????????.
7672,2136,"????????? ??????????
ve?ka?agiri m?h?tmya?",?????,pl,TU,24x3.5,1&30,Mahatme,8,40,???,???,????? ??????? ??????????.
7673,2137,"???? ????????
d?v? st?tra?",,pl,TU,16x4.5,2&93,Stotra,11,20,Inc,O/D,??. ?????????? ???
7674,2138,"???? ??????????
d?v? m?h?tmya?",?????,pl,TU,14x5,1&38,Mahatme,10,20,Inc,O/D,?&? ????????? ??????????.
7675,2139/1,"??????? ????? 
n?gap?j? vidhi? ",,pl,TU,20x5,1&6,Gruhya- Prayoga ,9,25,C   ,G,
